algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
logistic:leave_out_LR04,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.395825257538041,0.11894896582947341,2379,0,399,0,0.5,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.1879049676025918,577,0.20770338372930167,707,957.0,0.7304077403039159,0.6967954455221795,0.7034120622291696,616,0.5250459921965142,0.8161244695898161,11,0,66,500,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8254633099466664
logistic:leave_out_LR04,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39548763288073996,0.1188529424855129,2379,0,399,0,0.5,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.16846652267818574,512,0.18430525557955363,620,845.5,0.7365334122211069,0.7038387722301357,0.7105983961150208,548,0.46898997654584845,0.8258064516129032,10,0,51,451,0.8279708143968035,0.13510331695002203,0.7998284295605904,0.8264255487816486
logistic:leave_out_LR04,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3936549986630161,0.11783325088424586,2379,0,399,0,0.5,0.7570286582365962,0.33095759688530957,4.9661437052367114,4.299778434952075,0.1879049676025918,577,0.20770338372930167,707,957.0,0.7010973766072162,0.670076595118145,0.6767576936099862,616,0.46945257565758347,0.8161244695898161,11,0,66,500,0.8349174121708409,0.15922212352961881,0.7492289670703663,0.7888241466583094
logistic:leave_out_LR04,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39294726676657066,0.11761218409660495,2379,0,399,0,0.5,0.7670758442975871,0.36097699737289385,5.7722228084777525,4.788222877660385,0.16846652267818574,512,0.18430525557955363,620,845.5,0.7069160360347255,0.676642829442049,0.6836861097213338,548,0.4194006606301835,0.8258064516129032,10,0,51,451,0.7903734938125553,0.15813263463087474,0.7485997323378506,0.790150573007938
logistic:leave_out_LR04,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39603805419715404,0.11785624610051025,2379,0,399,0,0.5,0.7552493044296323,0.3284339157316549,2.6985556799021277,3.2769163954506175,0.1879049676025918,577,0.20770338372930167,707,957.0,0.6605416936842561,0.6329955408062476,0.6398180823621787,616,0.4075289697404779,0.8161244695898161,11,0,66,500,0.8059367634897061,0.18954610870899508,0.678794572845894,0.7384422140232639
logistic:leave_out_LR04,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3946932758528851,0.117375591431668,2379,0,399,0,0.5,0.7657652959637429,0.356795546080615,3.243946575930509,3.64841377416805,0.16846652267818574,512,0.18430525557955363,620,845.5,0.6659766541620489,0.6389437928108727,0.6464354173035125,548,0.36415789407751176,0.8258064516129032,10,0,51,451,0.7395128995271361,0.1883667250776792,0.677062688951719,0.7403020379213804
logistic:leave_out_LR04,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.4989491382934006,0.0,0.0,0.9978982765868012,0.0,0.4070862656166144,0.12087462929981704,2374,5,399,0,0.5,0.7541336527531523,0.3266635588013234,1.0392564172507883,2.510502184467198,0.1861051115910727,568,0.2044636429085673,707,957.0,0.6029982000859312,0.580265786827343,0.5872114481445189,616,0.33860533726223363,0.8033946251768034,11,0,61,496,0.7671180823911528,0.2299618214111262,0.5798764122208001,0.6672854647812192
logistic:leave_out_LR04,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.4989491382934006,0.0,0.0,0.9978982765868012,0.0,0.40459271240409356,0.11983475834141327,2374,5,399,0,0.5,0.7648919482396619,0.3542181748251654,1.3939453605097252,2.793848322864483,0.16666666666666666,502,0.18070554355651547,620,845.5,0.6079836892064244,0.5854508536621552,0.5934474561397678,548,0.3026471940333333,0.8096774193548387,8,0,46,448,0.67203787024292,0.2285339113895265,0.5771789849224838,0.6699364964678303
logistic:leave_out_LR04,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8549316054715623,0.5116748365238443,0.42857142857142855,0.03007518796992481,0.9932744850777637,0.05620608899297424,0.42138133052790044,0.12587419298579444,2363,16,387,12,0.5,0.7540293567040762,0.32660574488244065,0.24044607970173623,2.1344397988557593,0.17818574514038876,527,0.18970482361411087,707,957.0,0.5564818004520697,0.5376049620465013,0.5444466653947977,616,0.2934717246390885,0.7454031117397454,10,1,39,477,0.7371788426291964,0.2605988825283418,0.5025323702691271,0.6098654994630169
logistic:leave_out_LR04,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.5093787432010037,0.4,0.02506265664160401,0.9936948297604036,0.04716981132075472,0.41773309375626577,0.12420792799131554,2364,15,389,10,0.5,0.7647750102452432,0.3538344644802097,0.5045798929243882,2.3751224974875584,0.15946724262059037,464,0.16702663786897048,620,845.5,0.5611795414849386,0.5422711183703778,0.5503933817869995,548,0.2623332937275208,0.7483870967741936,7,0,27,430,0.622640120890696,0.25880357270785886,0.49985271483364135,0.6131672236624452
