algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517,0.0,0.0,True,True,True,False,True,False,False,True,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6832253419726422,0.7295255793961575,0.284304932735426,0.7944862155388471,0.6645649432534678,0.4187582562747688,0.3428377352046815,0.10456144482053549,1581,798,82,317,0.11813894162575404,0.7911893015430547,0.396757384226335,-0.2886429769957086,0.9055231744341221,0.01907847372210223,53,0.01907847372210223,722,972.0,0.5246354226803533,0.503650098891167,0.5046444638307414,629,0.30381937932621805,0.07340720221606649,8,33,0,5,7,0.8804046128961173,0.09943095096028769,0.5709543248092886,0.7147595135702027,0.5852410377835233,0.2535211267605634,0.10156437541461633,True,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6763858891288697,0.7255323049110798,0.2795414462081129,0.7944862155388471,0.6565783942833123,0.4135681669928245,0.35257116783849124,0.10896305806971189,1562,817,82,317,0.11813894162575404,0.7880172267575203,0.39056975875766625,-0.5382167395050576,0.8133969325821074,0.022318214542836574,62,0.022318214542836574,722,972.0,0.4591118918727976,0.4427536609982478,0.4421207087085827,629,0.24115488937918447,0.08587257617728532,8,49,0,4,1,0.8430321914228526,0.12715246110485912,0.47144838324700944,0.638142971860038,0.5063544626384974,0.12676056338028163,0.21377310509849265,True,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6742260619150467,0.7211423893908795,0.2768959435626102,0.7869674185463659,0.655317360235393,0.4096542726679713,0.3731817296418573,0.1181859870311904,1559,820,85,314,0.11813894162575404,0.7826928607774164,0.382551614938805,-0.8008465010762323,0.687579250069572,0.019438444924406047,54,0.019438444924406047,722,972.0,0.37266295973725094,0.362322411425962,0.3581551040864641,629,0.17804710114118263,0.07479224376731301,3,51,0,0,0,0.7435489308201906,0.1575108278590517,0.36041050607507874,0.5260673438509306,0.4025264632602533,0.23943661971830982,0.3618164833765562,False,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6681065514758819,0.7196553805699621,0.2735930735930736,0.7919799498746867,0.6473308112652375,0.4066924066924067,0.3904179402475165,0.12579983888111707,1540,839,83,316,0.11813894162575404,0.7787675367485548,0.368431672485494,-0.9281195474928543,0.6268433799772543,0.016918646508279338,47,0.016918646508279338,722,972.0,0.32161219718780454,0.31501598516178153,0.30716323970031373,629,0.1464882701786526,0.06509695290858726,1,46,0,0,0,0.6899340205797643,0.1666503219363781,0.3146859246371972,0.4724950282110108,0.34066205751895906,0.3380281690140845,0.4492406673981846,False,False,False,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6677465802735781,0.7173592872471215,0.2725694444444444,0.7869674185463659,0.6477511559478772,0.4049000644745326,0.41051370599952214,0.13390817177348258,1541,838,85,314,0.11813894162575404,0.7778667981428982,0.36709269654676063,-1.0474683901162989,0.5735444542049791,0.016198704103671708,45,0.016198704103671708,722,972.0,0.27335314075040934,0.2699601014363145,0.25939231348832525,629,0.12027346683712335,0.062326869806094184,1,44,0,0,0,0.5914914806683857,0.178465008470588,0.26310910164105766,0.4175343996948666,0.28315223828951513,0.36619718309859145,0.5318840682015823,False,False,False,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6648668106551476,0.7156779085165625,0.2706896551724138,0.7869674185463659,0.6443883984867591,0.4028223220012829,0.43986210444280166,0.1446784813119567,1533,846,85,314,0.11813894162575404,0.7752088291346273,0.36020586700968316,-1.1609460383338654,0.5107386244887699,0.015478761699064075,43,0.015478761699064075,722,972.0,0.220490111079449,0.22037388473497194,0.20658572828325236,629,0.09391115633274191,0.05955678670360111,0,43,0,0,0,0.5206535395347712,0.1856674752783221,0.20919995958154855,0.33506002293692705,0.2208257727622986,0.39436619718309857,0.6224117509059998,False,False,False,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
Neural Network (MLP),2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.656227501799856,0.7137626537971663,0.26638655462184874,0.7944862155388471,0.6330390920554855,0.3989930774071743,0.462579407526327,0.15180839575038263,1506,873,82,317,0.11813894162575404,0.7750350023861672,0.362048969951773,-1.2424899978213433,0.4830032988668907,0.01583873290136789,44,0.01583873290136789,722,972.0,0.1890791739057366,0.19054813686816757,0.1751503397182879,629,0.07947653476860737,0.060941828254847646,0,44,0,0,0,0.45751062758041156,0.1835504605793036,0.1745307713445991,0.3162761797507604,0.18483680887023607,0.380281690140845,0.676202828935572,False,False,False,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.025557955363570913,0.5839432546126672,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.11813894162575404
