algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR04_neg,soft_violation_LR04,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
neural:single_LR04,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.0021598272138228943,6,0.0021598272138228943,15,15.0,0.7666202170153459,0.7666202170153459,0.7666202170153459,15,0.009816701046393386,0.4,6,0.7666202170153459,0.0,0.0,True,True,True,False,True,False,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6965442764578834,0.72687235111739,0.29017013232514177,0.7694235588972431,0.6843211433375368,0.42141386410432397,0.3403875753322749,0.1033857846705239,1628,751,92,307,0.11813894162575404,0.7913378444008298,0.3974040096001343,-0.03676419370345518,0.9878941231131433,0.0021598272138228943,6,0.0021598272138228943,15,15.0,0.7339225954479641,0.7339225954479641,0.7339225954479641,15,0.00885701876181113,0.4,6,0.7339225954479641,0.0,0.0426516557242414,True,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6997840172786177,0.7266779812077482,0.291866028708134,0.7644110275689223,0.6889449348465742,0.4224376731301939,0.3403834513597225,0.10332482603650651,1639,740,94,305,0.11813894162575404,0.7911461082298011,0.3954836734089361,-0.018276576242686787,0.9927911845071946,0.0017998560115190785,5,0.0017998560115190785,15,15.0,0.6680816520419385,0.6680816520419385,0.6680816520419385,15,0.007444991238751652,0.3333333333333333,5,0.6680816520419385,0.1666666666666667,0.1285363505766179,True,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6943844492440605,0.7245683565787103,0.288135593220339,0.7669172932330827,0.682219419924338,0.4188911704312115,0.34052978353268676,0.10331301249123011,1623,756,93,306,0.11813894162575404,0.7907373519970585,0.39418291803713384,-0.030169580945564572,0.9929274615911143,0.0007199424046076314,2,0.0007199424046076314,15,15.0,0.6008417910999722,0.6008417910999722,0.6008417910999723,15,0.006230389701830642,0.13333333333333333,2,0.6008417910999723,0.6666666666666667,0.21624583103324974,True,True,True,True,True,True,True,True,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6807055435565155,0.7197106890808358,0.2793851717902351,0.7744360902255639,0.6649852879361076,0.4106312292358804,0.3415125212286425,0.10366290859456195,1582,797,90,309,0.11813894162575404,0.7897776176464699,0.3903400545155596,-0.05283285628417212,0.9942879048580904,0.0,0,0.0,15,15.0,0.5290801985396278,0.5290801985396278,0.529080198539628,15,0.005070231211944354,0.0,0,0.529080198539628,1.0,0.3098535796518957,False,True,True,True,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6929445644348452,0.7258135881949515,0.28785046728971964,0.7719298245614035,0.6796973518284993,0.41933287950987064,0.342110397904432,0.10388359897768241,1617,762,91,308,0.11813894162575404,0.7893909848180771,0.39076767244398275,-0.060506947724322746,0.9709035938511685,0.0,0,0.0,15,15.0,0.42461591098043655,0.42461591098043655,0.4246159109804365,15,0.0035686714436232296,0.0,0,0.4246159109804365,1.0,0.44611960191504213,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6814254859611231,0.7211739942542359,0.28028933092224234,0.7769423558897243,0.6654056326187474,0.4119601328903654,0.34379557198985117,0.10437215726798704,1583,796,89,310,0.11813894162575404,0.7874799440804617,0.385354948607156,-0.09812964121439444,0.9698982120647288,0.0,0,0.0,15,15.0,0.35738394690884484,0.35738394690884484,0.3573839469088448,15,0.002832588102283407,0.0,0,0.3573839469088448,1.0,0.5338187814818731,False,True,True,True,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR04,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6853851691864651,0.7203570085364737,0.28191000918273645,0.7694235588972431,0.6712904581757041,0.41263440860215056,0.34368453005482796,0.1043543361522862,1597,782,92,307,0.11813894162575404,0.7881973744786515,0.38851720515078764,-0.15152449562309556,0.9327881290550238,0.0,0,0.0,15,15.0,0.35207585361268784,0.35207585361268784,0.35207585361268795,15,0.002799542442253324,0.0,0,0.35207585361268795,1.0,0.5407428009354988,False,True,True,True,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.0021598272138228943,0.7666202170153459,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
