feature,standardized_coefficient,odds_ratio_per_sd
MCH,0.06874920015780005,1.071167526810317
MCV,0.0679458272838732,1.0703073254533293
HBA2,-0.001009470571416525,0.9989910387725971
HBF,-0.0359490806517808,0.9646894135887044
