algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
logistic:leave_out_LR03,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.02663786897048236,74,0.02663786897048236,656,906.0,0.7281016624274027,0.6909973760252444,0.7064831885738765,618,0.4989873442725565,0.11280487804878049,7,51,15,1,0.8570532092542398,0.13614523400534911,0.8957438651156685,0.8254633099466664,0.0,0.0,True,True,True,False,True,False,False,True,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.2937365010799136,0.5667826565151846,0.16329168461869883,0.949874686716792,0.18369062631357713,0.2786764705882353,0.3941364972842952,0.1179998092521419,437,1942,20,379,0.14075511803503238,0.7573984351378656,0.33148610293412933,5.290004551776389,4.4824008686214905,0.038876889848812095,108,0.038876889848812095,656,906.0,0.7030873229340363,0.6692385568450016,0.6830305356533704,618,0.4522376563197704,0.16463414634146342,2,91,15,0,0.836065944731622,0.1578508170475813,0.8899946070837425,0.791906485151663,-0.45945945945945954,0.03435555882398568,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.1673866090712743,0.5076136115825504,0.14555555555555555,0.9849624060150376,0.03026481715006305,0.2536302032913843,0.39669498188725955,0.11810131434476559,72,2307,6,393,0.14075511803503238,0.7558245129427182,0.32930881430326764,3.071585841184841,3.5140294687336926,0.0482361411087113,134,0.0482361411087113,656,906.0,0.6682398023869927,0.6388599012736855,0.6502922320126331,618,0.39891409513455434,0.20426829268292682,0,119,15,0,0.8081094512100488,0.1867856755015593,0.8836281335246158,0.7453326629083105,-0.8108108108108109,0.08221634852588836,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14794816414686826,0.4962643051512767,0.14270152505446623,0.9849624060150376,0.007566204287515763,0.24928639391056137,0.4077791353184995,0.12107715060144145,18,2361,6,393,0.14075511803503238,0.7547478405977112,0.3276785191334869,1.338609048248775,2.7413760262197857,0.04895608351331893,136,0.04895608351331893,656,906.0,0.6178329749033364,0.5947874434078965,0.6028151424123047,618,0.33772486061324924,0.2073170731707317,0,124,12,0,0.7695642309613188,0.22627552873529744,0.8764875217154212,0.6783044495473711,-0.8378378378378379,0.15144682839542464,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.14542836573074155,0.4947930987620375,0.14233973198116626,0.9849624060150376,0.004623791509037411,0.24873417721518987,0.4223501680543319,0.12607887130773587,11,2368,6,393,0.14075511803503238,0.754647758530416,0.3274170918013698,0.4692386180210452,2.3485144040204045,0.05003599712023038,139,0.05003599712023038,656,906.0,0.5760416963868267,0.5581307897993002,0.5633503506788836,618,0.29650558661175097,0.21189024390243902,0,127,12,0,0.7388157087534227,0.2570146734398367,0.8716640085750846,0.6230399152724964,-0.8783783783783784,0.20884441539884216,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.1443484521238301,0.49520554222883817,0.14244396240057844,0.9874686716791979,0.0029424127784783522,0.24897314375987362,0.437974117297981,0.1320671678273396,7,2372,5,394,0.14075511803503238,0.7549248278325068,0.32799922681402416,-0.05860747206421504,2.1092165535980043,0.049316054715622754,137,0.049316054715622754,656,906.0,0.5411940199885283,0.5274792408815023,0.5303710398774515,618,0.26680207058094585,0.20884146341463414,0,127,10,0,0.7137618104468637,0.2812539957865014,0.8680788312281748,0.5771816003653646,-0.8513513513513516,0.25670541915224715,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14398848092152627,0.49499536988751824,0.14239248283339356,0.9874686716791979,0.0025220680958385876,0.2488945041061276,0.4690482973676769,0.14500240864182057,6,2373,5,394,0.14075511803503238,0.7556696491122721,0.3289529264047543,-0.6798850829135121,1.8289549538841152,0.04895608351331893,136,0.04895608351331893,656,906.0,0.4866762955098786,0.47935360103309155,0.4786345211343778,618,0.22667160052585056,0.2073170731707317,0,127,9,0,0.6751738004983361,0.31646908898691367,0.862836399696245,0.5058910458169679,-0.8378378378378379,0.33158194710425626,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic:leave_out_LR03,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.14398848092152627,0.49499536988751824,0.14239248283339356,0.9874686716791979,0.0025220680958385876,0.2488945041061276,0.4982639509014594,0.15783109305403087,6,2373,5,394,0.14075511803503238,0.7564639846779622,0.3300247949603908,-1.044266015104582,1.6672284962280182,0.04895608351331893,136,0.04895608351331893,656,906.0,0.4459870143910916,0.4432791311428256,0.43989332726906405,618,0.2006217707428617,0.2073170731707317,0,127,9,0,0.6464961001496421,0.3403852492611436,0.8588880337885458,0.4530925000345413,-0.8378378378378379,0.38746601277598386,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7281016624274027,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
