algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
xgboost:leave_out_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04607631389488841,132,0.047516198704103674,592,842.0,0.644813786837354,0.6450481100640821,0.649849990469367,537,0.36498710618837893,0.22297297297297297,9,7,6,110,0.8668706868602228,0.6280662797347889,0.583404961449824,0.6442589094364617,0.0,0.0,True,True,True,False,True,False,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7422606191504679,0.7264472657052468,0.31968145620022753,0.7042606516290727,0.7486338797814208,0.4397496087636933,0.3457580876358209,0.10542458642580614,1781,598,118,281,0.176466839134463,0.7873403559339711,0.4105367294144042,-0.39026949268797007,0.8759116588982916,0.011519078473722102,33,0.011879049676025918,592,842.0,0.5613933416613474,0.5619602944736579,0.5684532683914214,537,0.2767928534885307,0.05574324324324324,9,3,4,17,0.8299334137288558,0.5359834115667228,0.5433948608724254,0.5600507974017959,0.7499999999999999,0.12937137337767313,True,True,True,True,True,True,True,True,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7307415406767459,0.7218076717645312,0.3092896174863388,0.7092731829573935,0.7343421605716688,0.4307458143074581,0.3587432301046223,0.11116546670142505,1747,632,116,283,0.176466839134463,0.7830015349428636,0.3933379770813633,-0.633000009882272,0.7907325124742608,0.003599712023038157,10,0.003599712023038157,592,842.0,0.46880511140413395,0.4695387546654659,0.47795696247059793,537,0.20510020383102714,0.016891891891891893,7,1,2,0,0.7609471445782138,0.43350994216259153,0.49672972721429576,0.4670678441612999,0.9218749999999999,0.2729604717301369,True,True,True,True,True,True,True,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7235421166306696,0.7186471854288938,0.3030949839914621,0.7117794486215538,0.7255149222362337,0.4251497005988024,0.3811137018291993,0.12130303577179471,1726,653,115,284,0.176466839134463,0.7779684604533612,0.38440689444650583,-0.871829609046047,0.6729312207687035,0.0003599712023038157,1,0.0003599712023038157,592,842.0,0.36837241185128866,0.3692851556418695,0.3782463238454444,537,0.1459738909904116,0.0016891891891891893,1,0,0,0,0.6391869584684162,0.33240505818779703,0.4361002985895312,0.3662110345551931,0.9921875,0.42871505018827105,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.720662347012239,0.7127939647352934,0.29882604055496265,0.7017543859649122,0.7238335435056746,0.41916167664670656,0.4008403620398429,0.1299771325711877,1722,657,119,280,0.176466839134463,0.7757461118116855,0.3787183865515956,-1.0071154025669433,0.6202511427783581,0.0003599712023038157,1,0.0003599712023038157,592,842.0,0.30617069419545456,0.3073672955330976,0.3157626296609463,537,0.1148874352005696,0.0016891891891891893,1,0,0,0,0.5784344250752598,0.2743829432661012,0.38805432734968864,0.3033371422279158,0.9921875,0.5251796713324894,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7199424046076314,0.7144595410341743,0.2990455991516437,0.706766917293233,0.7221521647751156,0.4202682563338301,0.41819295256144756,0.13708185476608445,1718,661,117,282,0.176466839134463,0.7753889768557586,0.3734822498946202,-1.0968305485919063,0.5769953424335005,0.0,0,0.0,592,842.0,0.2614942964937465,0.26273589598125285,0.27055700849940306,537,0.09471259817642445,0.0,0,0,0,0,0.5211337242267834,0.23211394436569643,0.3473709781736958,0.25855418890733134,1.0,0.5944654071738931,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7231821454283658,0.7153081316152929,0.30150214592274677,0.7042606516290727,0.7263556116015133,0.4222389181066867,0.44927969266277973,0.14847040493791727,1728,651,118,281,0.176466839134463,0.7740657865765718,0.36797948800194963,-1.2101454058236043,0.5115176386697861,0.0,0,0.0,592,842.0,0.20065986573035344,0.20175021332746193,0.20825337207829817,537,0.06953856239310703,0.0,0,0,0,0,0.41305626557605457,0.17884502784323264,0.2699849480444879,0.1980779226204004,1.0,0.6888095915030934,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR02,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7203023758099352,0.7157126738662545,0.2997881355932203,0.7092731829573935,0.7221521647751156,0.42144452717795977,0.47332011033112437,0.15588262016614238,1718,661,116,283,0.176466839134463,0.7727015099750215,0.3681872507664732,-1.2813286364643148,0.4768229745644447,0.0,0,0.0,592,842.0,0.16477436844282217,0.16593837482166685,0.17162723876861385,537,0.05574720113019066,0.0,0,0,0,0,0.3522110374949577,0.14742722228933802,0.24146660946846227,0.162018001337718,1.0,0.7444620884255622,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04607631389488841,0.644813786837354,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
