algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
xgboost:leave_out_LR03,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04787616990640749,133,0.04787616990640749,656,906.0,0.5656793026770571,0.5357328061986255,0.5419420753360946,618,0.3436255684378978,0.2027439024390244,9,8,6,110,0.8668706868602228,0.084804724391213,0.583404961449824,0.6442589094364617,0.0,0.0,True,True,True,False,True,False,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7397408207343412,0.7249760593160075,0.31715575620767494,0.7042606516290727,0.7456914670029424,0.43735408560311284,0.34540263859724535,0.10529403913417225,1774,605,118,281,0.176466839134463,0.7875600097342979,0.4073708159484604,-0.37908933793903454,0.8735347586298151,0.020158387329013677,56,0.020158387329013677,656,906.0,0.5023817409778187,0.478574888673739,0.4803586396336099,618,0.26634017376771385,0.08536585365853659,8,22,4,22,0.829102666470945,0.1089397316693007,0.5491581206614209,0.564850921423724,0.5789473684210527,0.111896548803686,True,True,True,True,True,True,True,True,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7293016558675306,0.7167951404362103,0.3062568605927552,0.6992481203007519,0.7343421605716688,0.4259541984732824,0.3576042987509657,0.11045962930866568,1747,632,120,279,0.176466839134463,0.7816214559096353,0.3984683413103455,-0.6120125213471616,0.7822253507829082,0.01655867530597552,46,0.01655867530597552,656,906.0,0.4315131801750891,0.414167330716335,0.41089564378661153,618,0.20384486332273408,0.0701219512195122,6,37,3,0,0.7617505567527612,0.13369488299238472,0.49465556394635896,0.4770286891548599,0.6541353383458648,0.23717700447414575,False,True,True,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7300215982721382,0.7182584456096104,0.30735455543358947,0.7017543859649122,0.7347625052543085,0.42748091603053434,0.37687951646690343,0.11943073062667292,1748,631,119,280,0.176466839134463,0.778275027627918,0.39404525338372365,-0.8330444670904076,0.6824184601052199,0.014038876889848811,39,0.014038876889848811,656,906.0,0.3526736453894671,0.3417752260291287,0.33320209569445,618,0.15250222045869818,0.05945121951219512,1,37,1,0,0.6729254639457951,0.1503274144054929,0.44161702689954085,0.381271097790995,0.706766917293233,0.3765484370376437,False,False,True,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7264218862491001,0.7161567221964116,0.30401737242128124,0.7017543859649122,0.7305590584279109,0.42424242424242425,0.39426036425377775,0.12717814658509805,1738,641,119,280,0.176466839134463,0.7772231124258735,0.38667878633709624,-0.9615713726325751,0.6207324780084494,0.013678905687544997,38,0.013678905687544997,656,906.0,0.3017053231405808,0.29471932231241554,0.2827384786963839,618,0.12450442214182157,0.057926829268292686,1,37,0,0,0.5988201981697158,0.15989885663374723,0.3962471491898279,0.32003658931368634,0.7142857142857142,0.466649527898986,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7239020878329734,0.716771436788693,0.30257510729613735,0.706766917293233,0.726775956284153,0.4237415477084899,0.41013610550070206,0.1337352453806472,1729,650,117,282,0.176466839134463,0.7755043346070092,0.38527494718675737,-1.047407347288896,0.5777170930124925,0.013678905687544997,38,0.013678905687544997,656,906.0,0.2660128340185974,0.2616791739164838,0.24732685138169103,618,0.10705039874394748,0.057926829268292686,1,37,0,0,0.5467900592648941,0.16563247750140703,0.3614964199230035,0.2773843581265432,0.7142857142857142,0.5297462135176219,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7217422606191505,0.7165533632315341,0.30106382978723406,0.7092731829573935,0.7238335435056746,0.42270351008215085,0.43745025765678924,0.14372861783260552,1722,657,116,283,0.176466839134463,0.7740215397678728,0.39054610155379305,-1.1630912128790594,0.5215538907958558,0.013678905687544997,38,0.013678905687544997,656,906.0,0.2168184171713738,0.21582815823662202,0.1982761647391181,618,0.08504062837250168,0.057926829268292686,1,37,0,0,0.47625042009335417,0.17088794769463506,0.294710378254229,0.21941685661616236,0.7142857142857142,0.6167114190933125,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
xgboost:leave_out_LR03,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7228221742260619,0.711969077801692,0.2998921251348436,0.6967418546365914,0.7271963009667928,0.4193061840120664,0.4606863793554796,0.15093552059128001,1730,649,121,278,0.176466839134463,0.772410745232143,0.3830689666738938,-1.2311297190509358,0.4798877500450768,0.013678905687544997,38,0.013678905687544997,656,906.0,0.1855383871133735,0.186445565635015,0.16687926943286552,618,0.07212517198713567,0.057926829268292686,1,37,0,0,0.4174743274131829,0.1712712062685271,0.258122753588209,0.1831579506725863,0.7142857142857142,0.6720078209767978,False,False,False,True,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04787616990640749,0.5656793026770571,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.176466839134463
