algorithm,selected_lambda_frequency,penalized_folds,n_folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_q025,balanced_accuracy_q975,recall_sensitivity_mean,recall_sensitivity_sd,recall_sensitivity_q025,recall_sensitivity_q975,specificity_mean,specificity_sd,specificity_q025,specificity_q975,roc_auc_mean,roc_auc_sd,roc_auc_q025,roc_auc_q975,average_precision_mean,average_precision_sd,average_precision_q025,average_precision_q975,log_loss_mean,log_loss_sd,log_loss_q025,log_loss_q975,brier_score_mean,brier_score_sd,brier_score_q025,brier_score_q975,patient_violation_rate_mean,patient_violation_rate_sd,patient_violation_rate_q025,patient_violation_rate_q975,soft_rule_violation_mean,soft_rule_violation_sd,soft_rule_violation_q025,soft_rule_violation_q975,threshold_mean,threshold_sd,threshold_q025,threshold_q975,delta_balanced_accuracy_all_mean,delta_balanced_accuracy_penalized_mean,delta_recall_sensitivity_all_mean,delta_recall_sensitivity_penalized_mean,delta_specificity_all_mean,delta_specificity_penalized_mean,delta_roc_auc_all_mean,delta_roc_auc_penalized_mean,delta_average_precision_all_mean,delta_average_precision_penalized_mean,delta_patient_violation_rate_all_mean,delta_patient_violation_rate_penalized_mean,delta_soft_rule_violation_all_mean,delta_soft_rule_violation_penalized_mean
XGBoost,"0: 6, 0.1: 4",4,10,0.7228298378015554,0.01168671823727923,0.7092401999532052,0.7409880488648029,0.7257030075187969,0.04201566017319868,0.6549501879699249,0.7936842105263158,0.7199566680843137,0.05388220583596385,0.6358704793944491,0.7993481917577796,0.7956370567822832,0.009951901677137193,0.777305991007797,0.80311238585677,0.4442121800150819,0.025810435037681927,0.41649885919469193,0.49113081703245204,0.33514634799262477,0.0050889372920659,0.3282493108173318,0.34374598776945475,0.10060228851828397,0.0017603820898579364,0.09738833357817733,0.10290936488024209,0.0321885678745988,0.009019427216555145,0.020849837954627234,0.04575640034501233,0.5549710674152771,0.035233932487554714,0.5070544238103797,0.5875758947700664,0.1390531372069288,0.030222697867498854,0.10545203225955688,0.20126856999323248,-0.00230531666992565,-0.005763291674814125,0.009517543859649136,0.02379385964912284,-0.014128177199500403,-0.035320442998751006,-8.321888958235934e-05,-0.00020804722395589836,-0.000407322940989302,-0.001018307352473255,-0.009036884539334081,-0.022592211348335202,-0.02761253920965967,-0.06903134802414918
LightGBM,"0: 5, 0.1: 5",5,10,0.726338810249153,0.008682162908793546,0.7116758201222148,0.7372325235924124,0.7124091478696742,0.039847011885481426,0.6563909774436091,0.7689882518796992,0.740268472628632,0.0351715810129544,0.6936043752260369,0.7993166526492852,0.7962670967003952,0.00976313228497112,0.7772210303934773,0.8041166704608451,0.4489070343693434,0.02097755567055375,0.4278352799811887,0.49086215520233273,0.3346643523195042,0.004323104753986782,0.32898527207088135,0.3422835703762119,0.10039347532723672,0.001254787054092032,0.09794042243109953,0.10196170771868761,0.031216593778007257,0.011242587862137597,0.01725614057465246,0.04960388908894483,0.5479073380081931,0.03512383199669834,0.5061856525269532,0.5866330694858074,0.14844767246518134,0.025731610592989593,0.12046410694534643,0.1915986221161676,-0.001633206755323946,-0.003266413510647892,0.01578320802005013,0.03156641604010026,-0.019049621530698058,-0.038099243061396115,-0.0008575841938740725,-0.001715168387748145,-0.0006539456375272534,-0.0013078912750545068,-0.012854523672675871,-0.025709047345351742,-0.03345955433711441,-0.06691910867422882
Logistic Regression,0: 10,0,10,0.706911496370519,0.008498807720648476,0.6935185839651694,0.7171707844554087,0.7196835839598996,0.04341985164577602,0.6552000313283207,0.784734022556391,0.6941394087811383,0.050103886741693644,0.6052775441547519,0.7550567703952902,0.7592141132863094,0.008539256431292224,0.7449032589885141,0.7719132651569204,0.3395064129598597,0.016772448143934367,0.3174563947591405,0.37125888726051526,0.39603201883131944,0.0006852373382536462,0.394967045616737,0.3971655295346218,0.1190242890803195,0.00017451848943977218,0.11875257683302781,0.11930187049065537,0.02300703376210992,0.0039126675773461074,0.01760893050054011,0.02960028808066256,0.7346315373510931,0.009079010294333795,0.7197157622672422,0.7452348109370155,0.14611490028280788,0.0028621463235570807,0.14192290770559576,0.15018033271998468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),"0: 5, 0.1: 4, 0.25: 1",5,10,0.7257678307193041,0.009097682903114574,0.7134832191917978,0.740750583354939,0.7144191729323308,0.04824216246645096,0.650563909774436,0.7878717105263158,0.7371164885062774,0.04399527829488095,0.6710465813674531,0.7908851976450799,0.7974294829123987,0.009241442441219567,0.7819258248649377,0.8089423215049819,0.43536380436575317,0.016509283594952476,0.41670668346573736,0.46681114253524075,0.3355221035384378,0.006247542039444607,0.3274424291367396,0.34718724877128626,0.10100246788496578,0.002084119450944528,0.09768095047459291,0.10452912320659014,0.02423141546587684,0.005257414478897693,0.0172848397551314,0.032247029168167046,0.5437831560963609,0.038296138436306124,0.47909644761314996,0.582827353935457,0.14881308699647583,0.03332427121469988,0.11013245141754548,0.19922690826157727,-0.0010617729142030964,-0.0021235458284061927,0.021299498746867162,0.042598997493734324,-0.023423044575273343,-0.04684608915054669,-0.00028462978303620543,-0.0005692595660724109,-0.0009581626044957048,-0.0019163252089914097,-0.013719219351180728,-0.027438438702361456,-0.03790881299034357,-0.07581762598068714
