algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7551755175517552,0.7487814159131679,0.3385939741750359,0.7398119122257053,0.7577509196006306,0.4645669291338583,0.3310749560009346,0.10039017904364357,1442,461,83,236,0.12592246383428574,0.8100936155912872,0.418380605219782,0.05438306217886615,1.02315308123324,0.036003600360036005,82,0.0369036903690369,562,757.0,0.5862393356057541,0.5613862716936433,0.5637838676628499,501,0.3838678159169897,0.14590747330960854,11,12,7,5,47,0.9181777321630054,0.07660118627642827,0.685052937199551,0.8416051570148694,0.6578671403165557,0.0,0.0,True,True,True,False,True,False,False,True,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7110711071107111,0.7373838041567761,0.3023255813953488,0.774294670846395,0.7004729374671571,0.43485915492957744,0.33205016095831646,0.10064670011546781,1333,570,72,247,0.12592246383428574,0.8077445775273162,0.4247389584307818,-0.19035809255097774,0.9707448366898501,0.01935193519351935,43,0.01935193519351935,562,757.0,0.5238530438496698,0.5044533313116145,0.5060953633342617,501,0.2994129219296779,0.07651245551601424,9,27,0,5,2,0.8852938830128146,0.10994841180268736,0.5784981084184918,0.8220197087419886,0.5797640102413985,0.4625000000000001,0.1064177853088301,False,True,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.7025202520252025,0.7297823762842699,0.29447115384615385,0.768025078369906,0.6915396741986337,0.4257167680278019,0.3412391698338347,0.10424716329721702,1316,587,74,245,0.12592246383428574,0.8028685938882181,0.4171253424570182,-0.46795266384296524,0.8656797227674669,0.01935193519351935,43,0.01935193519351935,562,757.0,0.455496568676496,0.44108206323046384,0.4399662363652496,501,0.23387581923129805,0.07651245551601424,5,35,0,3,0,0.8162706857547163,0.13757408732577922,0.4921093520110216,0.6875387714022683,0.4970399125773682,0.4625000000000001,0.22301943760591086,False,True,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.7056705670567057,0.7329262326272492,0.2974607013301088,0.7711598746081505,0.6946925906463479,0.4293193717277487,0.3586172960415833,0.11222162367270878,1322,581,73,246,0.12592246383428574,0.7994043392959804,0.41530569725208316,-0.7267110877008569,0.7374527652217855,0.01665166516651665,37,0.01665166516651665,562,757.0,0.3713739922377624,0.36320272043859975,0.35757380608749323,501,0.17319655044605006,0.06583629893238434,2,35,0,0,0,0.7188918750940099,0.16387259003425403,0.3982067277761009,0.5671258655687174,0.3949240166025284,0.5375000000000001,0.36651471560838533,False,False,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7043204320432043,0.7282240382698824,0.2949029126213592,0.7617554858934169,0.6946925906463479,0.4251968503937008,0.3770658127936659,0.12056412261349289,1322,581,76,243,0.12592246383428574,0.7978871835758422,0.4113082534461408,-0.893203345991588,0.6565031958727777,0.018001800180018002,40,0.018001800180018002,562,757.0,0.31000240148180047,0.30667222988231646,0.29825050037100354,501,0.13721659835498343,0.0711743772241993,3,37,0,0,0,0.6771890686617957,0.18048186849152287,0.32503878391855134,0.5215920415662584,0.3196001268095441,0.5,0.4712016361688206,False,False,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),1.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7056705670567057,0.7316215775454364,0.296969696969697,0.768025078369906,0.6952180767209669,0.42832167832167833,0.3948849337190736,0.12795065964968186,1323,580,74,245,0.12592246383428574,0.7976647991868968,0.41503866915976856,-1.014616665777696,0.6112034106590378,0.017101710171017102,38,0.017101710171017102,562,757.0,0.26328419194360336,0.26323316615927755,0.2520944218774897,501,0.11250617105594586,0.06761565836298933,1,37,0,0,0,0.6162144210603502,0.1932045072908439,0.27150019785253016,0.4561640794078509,0.26343125087073727,0.525,0.5508929954835683,False,False,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),1.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.698019801980198,0.7310689111566129,0.29245283018867924,0.7774294670846394,0.6847083552285864,0.4250214224507284,0.4194998798748355,0.13699906388725677,1303,600,71,248,0.12592246383428574,0.7958527782399345,0.4127768758099076,-1.13506484003295,0.5620708759971734,0.017101710171017102,38,0.017101710171017102,562,757.0,0.21738883489697763,0.21893141737201144,0.20532171607145694,501,0.09032105544719685,0.06761565836298933,1,37,0,0,0,0.5251460578292607,0.1889210650786048,0.22433817750070154,0.3325245607466924,0.21294303309713675,0.525,0.6291807429258354,False,False,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
Neural Network (MLP),2.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.6921692169216922,0.728957906753402,0.2885283893395133,0.780564263322884,0.6773515501839201,0.4213197969543147,0.44033803991616755,0.1435594343314282,1289,614,70,249,0.12592246383428574,0.7962497755564963,0.4062507674146521,-1.209217574422672,0.5224093529753998,0.01665166516651665,37,0.01665166516651665,562,757.0,0.18589527420789814,0.1895362307651196,0.17425079670641844,501,0.07584859954816592,0.06583629893238434,0,37,0,0,0,0.501832291069958,0.1885696631604953,0.18556662691317924,0.33447186365014037,0.17540185069426512,0.5375000000000001,0.6829020795477417,False,False,True,True,True,True,False,False,0.7487814159131679,0.8100936155912872,0.418380605219782,0.036003600360036005,0.5862393356057541,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.12592246383428574
