algorithm,penalty_multiplier_selected,split_selected,evaluation_mode_selected,threshold_selected_on_selected,n_patients_selected,accuracy_selected,balanced_accuracy_selected,precision_selected,recall_sensitivity_selected,specificity_selected,f1_selected,log_loss_selected,brier_score_selected,tn_selected,fp_selected,fn_selected,tp_selected,threshold_selected,roc_auc_selected,average_precision_selected,calibration_intercept_selected,calibration_slope_selected,patient_violation_rate_selected,total_rule_patient_violations_selected,violations_per_patient_selected,active_rule_count_selected,active_rule_weight_selected,soft_rule_violation_selected,unweighted_soft_rule_violation_selected,mean_patient_soft_rule_violation_selected,patients_with_active_rules_selected,rule_bce_per_patient_selected,active_rule_violation_rate_selected,violation_LR01_neg_selected,violation_LR02_pos_selected,violation_LR03_neg_selected,violation_LR04_neg_selected,violation_LR05_neg_selected,soft_violation_LR01_selected,soft_violation_LR02_selected,soft_violation_LR03_selected,soft_violation_LR04_selected,soft_violation_LR05_selected,penalty_multiplier_baseline,split_baseline,evaluation_mode_baseline,threshold_selected_on_baseline,n_patients_baseline,accuracy_baseline,balanced_accuracy_baseline,precision_baseline,recall_sensitivity_baseline,specificity_baseline,f1_baseline,log_loss_baseline,brier_score_baseline,tn_baseline,fp_baseline,fn_baseline,tp_baseline,threshold_baseline,roc_auc_baseline,average_precision_baseline,calibration_intercept_baseline,calibration_slope_baseline,patient_violation_rate_baseline,total_rule_patient_violations_baseline,violations_per_patient_baseline,active_rule_count_baseline,active_rule_weight_baseline,soft_rule_violation_baseline,unweighted_soft_rule_violation_baseline,mean_patient_soft_rule_violation_baseline,patients_with_active_rules_baseline,rule_bce_per_patient_baseline,active_rule_violation_rate_baseline,violation_LR01_neg_baseline,violation_LR02_pos_baseline,violation_LR03_neg_baseline,violation_LR04_neg_baseline,violation_LR05_neg_baseline,soft_violation_LR01_baseline,soft_violation_LR02_baseline,soft_violation_LR03_baseline,soft_violation_LR04_baseline,soft_violation_LR05_baseline,delta_balanced_accuracy,delta_recall_sensitivity,delta_specificity,delta_precision,delta_f1,delta_roc_auc,delta_average_precision,delta_log_loss,delta_brier_score,delta_patient_violation_rate,delta_soft_rule_violation
XGBoost,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7584593232541397,0.7327761395923604,0.3357487922705314,0.6967418546365914,0.7688104245481294,0.4531377343113284,0.3291223672462998,0.0981857885924432,1829,550,121,278,0.176466839134463,0.8036995599549525,0.466834644514072,-0.1254640612444213,1.0205112273465973,0.0190784737221022,53,0.0190784737221022,639,864.5,0.5189360444122836,0.4992024787773004,0.5017041208671862,566,0.2655939479130623,0.082942097026604,5,23,5,6,14,0.740218767330026,0.1083107839349324,0.5489085206203551,0.6650865335439761,0.5748551062338101,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,0.00465223588605812,0.057644110275689164,-0.048339638503572924,-0.03381642512077293,-0.015181824917321673,0.000926549244064323,-0.0013826117719199504,0.001286234238421169,0.00041938728228760325,-0.0356371490280777,-0.06678027787359919
LightGBM,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7419006479481641,0.7210222909101252,0.3172413793103448,0.6917293233082706,0.7503152585119798,0.4349881796690307,0.3292399450303464,0.0980506446943396,1785,594,123,276,0.1620460991482594,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.0176385889128869,49,0.0176385889128869,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.0766823161189358,5,21,5,6,12,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.0489560835133189,142,0.0511159107271418,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.3455475578760179,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644,0.002356142563217478,0.05263157894736836,-0.047919293820933184,-0.029697396199859283,-0.014747270066419016,0.0021317480333874483,-0.002299260274463033,0.00016166684329144143,0.00010856344642860838,-0.031317494600432,-0.0680425858805469
Logistic Regression,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.245814307458143,0.8095238095238095,0.5834384195039932,0.3771161704611792,0.3954876328807399,0.1188529424855129,1388,991,76,323,0.1407551180350323,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0201583873290136,57,0.0205183585313174,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.135103316950022,0.7998284295605904,0.8928541062428719,0.8264255487816486,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.245814307458143,0.8095238095238095,0.5834384195039932,0.3771161704611792,0.3954876328807399,0.1188529424855129,1388,991,76,323,0.1407551180350323,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0201583873290136,57,0.0205183585313174,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.135103316950022,0.7998284295605904,0.8928541062428719,0.8264255487816486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.3057851239669421,0.7418546365914787,0.7175283732660782,0.4330651060716898,0.3266836116287911,0.0970622717167395,1707,672,103,296,0.118138941625754,0.8034056347257382,0.486491531883908,0.2459355923922429,1.100790695498748,0.0215982721382289,62,0.0223182145428365,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.0970266040688575,6,14,8,8,26,0.8299908118632933,0.0655157441779235,0.6984573519892162,0.8201171990091863,0.6705714140434289,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.3057851239669421,0.7418546365914787,0.7175283732660782,0.4330651060716898,0.3266836116287911,0.0970622717167395,1707,672,103,296,0.118138941625754,0.8034056347257382,0.486491531883908,0.2459355923922429,1.100790695498748,0.0215982721382289,62,0.0223182145428365,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.0970266040688575,6,14,8,8,26,0.8299908118632933,0.0655157441779235,0.6984573519892162,0.8201171990091863,0.6705714140434289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
