algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
xgboost:single_LR02,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.5924347438583849,0.5592105263157895,0.21303258145363407,0.9718369062631358,0.308529945553539,0.34136285307534475,0.10336248661673542,2312,67,314,85,0.5,0.7881262635360997,0.4156564799742622,-0.169154175157114,0.9275971131874604,0.0003599712023038157,1,0.0003599712023038157,130,130.0,0.0494176009957583,0.0494176009957583,0.0494176009957583,130,0.0024803793174739378,0.007692307692307693,1,0.0494176009957583
xgboost:single_LR02,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8696904247660188,0.5964280183434627,0.6390977443609023,0.21303258145363407,0.9798234552332913,0.31954887218045114,0.3298660126706221,0.09790755934767668,2331,48,314,85,0.5,0.7968644815064142,0.4746194851670975,0.07144451201636376,1.0259504069129661,0.0,0,0.0,108,108.0,0.04449228174161227,0.04449228174161227,0.04449228174161227,108,0.0017866597675866283,0.0,0,0.04449228174161227
