algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:leave_out_LR02,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.1493880489560835,452,0.1627069834413247,592,842.0,0.647153211496643,0.64794923876459,0.6528995736489787,537,0.3627039758592705,0.7635135135135135,11,48,10,383,0.8638260760203477,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:leave_out_LR02,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.13354931605471562,398,0.14326853851691865,531,756.5,0.6575042505886629,0.6587388033315955,0.6636925745162363,487,0.34228121460715744,0.7495291902071564,10,34,17,337,0.7997263470945637,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:leave_out_LR02,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8549316054715623,0.6232716090351983,0.49173553719008267,0.2982456140350877,0.9482976040353089,0.3712948517940718,0.34565110281679134,0.1053157145206799,2256,123,280,119,0.5,0.787585293624983,0.40289396057992116,-0.38468032768729626,0.8767619175100904,0.11771058315334773,349,0.12562994960403168,592,842.0,0.5634897552487557,0.5643006386638334,0.5716771817388279,537,0.27783544739124,0.589527027027027,9,32,9,299,0.816495252322436,0.5338566078017123,0.604346835840253,0.5615695833218516
lightgbm:leave_out_LR02,0.1,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6379441668483946,0.5990338164251208,0.3107769423558897,0.9651113913408995,0.40924092409240925,0.32928555695227985,0.09821638159568911,2296,83,275,124,0.5,0.8023721556939848,0.4683779784489993,-0.15661184411355492,0.9789650176115955,0.10979121670266379,326,0.11735061195104392,531,756.5,0.5756363444710593,0.5764476812512712,0.5839291978879143,487,0.26132043242372166,0.6139359698681732,7,28,15,276,0.6964131420942522,0.546012335020737,0.659610870608539,0.5737258352458152
lightgbm:leave_out_LR02,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8470122390208783,0.658280316175053,0.46176470588235297,0.39348370927318294,0.9230769230769231,0.4248985115020298,0.3581350412717035,0.11094213290333116,2196,183,242,157,0.5,0.7829941604747472,0.3938401856576761,-0.6245300839859661,0.78274996714463,0.08387329013678906,243,0.08747300215982722,592,842.0,0.47179206744248114,0.47257821548047774,0.481675775070515,537,0.20699206511374818,0.41047297297297297,9,19,7,208,0.7391338143140973,0.4317145860586357,0.5451622988576748,0.46993046888850537
lightgbm:leave_out_LR02,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8642908567314614,0.6641967465953661,0.5387323943661971,0.38345864661654133,0.9449348465741908,0.4480234260614934,0.3369596441701569,0.10169146096074799,2248,131,246,153,0.5,0.8003083581168137,0.4504798115136664,-0.422580332027932,0.8836375200204644,0.08279337652987762,241,0.08675305975521959,531,756.5,0.48256394541292713,0.48338579699684275,0.49243619567248637,487,0.19317518411079704,0.4538606403013183,6,18,13,204,0.6034839127352123,0.4449512398523132,0.5887880445469303,0.48062867627297495
lightgbm:leave_out_LR02,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.816414686825054,0.6654467189411106,0.38266384778012685,0.45363408521303256,0.8772593526691888,0.4151376146788991,0.38082096575185503,0.12115695757702621,2087,292,218,181,0.5,0.7775676054364578,0.3793666713493021,-0.8632728267412705,0.676573946141773,0.03599712023038157,100,0.03599712023038157,592,842.0,0.37153626627159003,0.3726816936496846,0.38237981977359975,537,0.14734580851833326,0.16891891891891891,9,8,7,76,0.6556237226249203,0.3323220528335515,0.47136660563958627,0.36882389424026196
lightgbm:leave_out_LR02,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8412526997840173,0.6778626895106619,0.4475,0.44862155388471175,0.907103825136612,0.44806007509386736,0.3531672646069227,0.10939612794792199,2158,221,220,179,0.5,0.7973027356116226,0.43738166980582877,-0.6884515725127853,0.7711066557080766,0.040316774658027354,112,0.040316774658027354,531,756.5,0.3813947065119588,0.38279431663183805,0.39178474251894263,487,0.13725395867343934,0.21092278719397364,6,7,11,88,0.5332605112598141,0.3492282118552921,0.5051532381424346,0.3780989505312233
lightgbm:leave_out_LR02,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.7966162706983442,0.6653598055668806,0.3490909090909091,0.48120300751879697,0.8495166036149643,0.40463645943098,0.4002976777493034,0.12976584876738628,2021,358,207,192,0.5,0.775408466521495,0.38771950030527413,-0.9999848209363149,0.6246210063643137,0.008639308855291577,24,0.008639308855291577,592,842.0,0.309870178201319,0.31180850829249995,0.3199150879582586,537,0.1165106778063011,0.04054054054054054,9,8,6,1,0.6051237219390206,0.2866924566160787,0.4248311705645474,0.3052802125454026
lightgbm:leave_out_LR02,0.75,test,fixed_threshold_0.5,prespecified,2778,0.816414686825054,0.6748333633579535,0.3869653767820774,0.47619047619047616,0.8734762505254309,0.42696629213483145,0.3691722415030766,0.11656404776937525,2078,301,209,190,0.5,0.7944651456299427,0.43423139924011445,-0.8488853614959948,0.712482274695561,0.00827933765298776,23,0.00827933765298776,531,756.5,0.31763676855138273,0.31988591388807475,0.32739346258344815,487,0.1079256037311245,0.04331450094161959,6,7,10,0,0.4789633878343468,0.3000213755138193,0.4685845250480417,0.3123405549204139
