algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
lightgbm:leave_out_LR04,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.040676745860331175,115,0.04139668826493881,707,957.0,0.570372126615984,0.5438883598867901,0.5459394676699707,616,0.3585846889769701,0.16265912305516267,9,9,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6452682189261444,0.0,0.0,True,True,True,False,True,False,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7231821454283658,0.7226088550506151,0.3044397463002114,0.7218045112781954,0.7234131988230349,0.42825278810408923,0.34509149970646014,0.105084744331844,1721,658,111,288,0.1620460991482594,0.7882906088255528,0.40764436969833223,-0.3489944289438475,0.9111397761648209,0.017278617710583154,48,0.017278617710583154,707,957.0,0.5052183866457894,0.48366709357812104,0.485098423144798,616,0.27928450104799674,0.06789250353606789,9,31,1,7,0.8374875154284652,0.11127769203024339,0.5332038000834698,0.5661654434411557,0.5752212389380531,0.11423023133467533,True,True,True,True,True,True,True,True,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7156227501799856,0.7181952358828976,0.29782833505687695,0.7218045112781954,0.7145859604875998,0.4216691068814056,0.3576003460257091,0.11069565173038418,1700,679,111,288,0.1620460991482594,0.782531675974299,0.39590800761980666,-0.612270989993784,0.782756457186308,0.015478761699064075,43,0.015478761699064075,707,957.0,0.4287880211217572,0.412409059292025,0.41159196001667786,616,0.2127752636638041,0.06082036775106082,6,36,1,0,0.7526308157163303,0.12960808224696915,0.4377477676720624,0.4751077251762398,0.6194690265486725,0.24823110893276795,False,True,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7123830093592513,0.7225614477555806,0.2975708502024291,0.7368421052631579,0.7082807902480034,0.4239365537130497,0.3776503905807592,0.11990890417727104,1685,694,105,294,0.1620460991482594,0.779013527935012,0.38331347613934386,-0.8370657135288879,0.6855682007355588,0.014038876889848811,39,0.014038876889848811,707,957.0,0.34882904013395855,0.3386248247129399,0.3338817172300589,616,0.158106957944463,0.055162659123055166,2,37,0,0,0.688232978759125,0.1531836570568853,0.34969745781823686,0.3776865613445989,0.6548672566371682,0.3884185010870708,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7145428365730742,0.7217365608219792,0.2985685071574642,0.731829573934837,0.7116435477091215,0.4241103848946986,0.39716152602596067,0.12822105046166446,1693,686,107,292,0.1620460991482594,0.7749902288297456,0.3806461597815663,-0.9743238303374457,0.61073298756857,0.01331893448524118,37,0.01331893448524118,707,957.0,0.29358110306835467,0.28673306914634383,0.27923128648542994,616,0.1270378734775331,0.05233380480905234,0,37,0,0,0.612154640339572,0.15912471656913588,0.2852529422551711,0.3129473429998016,0.672566371681416,0.48528146911706505,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.712742980561555,0.7217286596061402,0.29746192893401013,0.7343358395989975,0.7091214796132829,0.4234104046242775,0.4115888177525252,0.13435034433208057,1687,692,106,293,0.1620460991482594,0.7751145412922806,0.37212542674757987,-1.055908330536242,0.5790242210882366,0.01331893448524118,37,0.01331893448524118,707,957.0,0.26069875789293717,0.2566062223156454,0.24653566770815452,616,0.1099597754278392,0.05233380480905234,0,37,0,0,0.5730636422020605,0.16924422164618935,0.2572564552450714,0.2722724485055185,0.672566371681416,0.542932156520933,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7120230381569475,0.7213083149235004,0.2968591691995947,0.7343358395989975,0.7082807902480034,0.4227994227994228,0.4373801226127701,0.1437017896270294,1685,694,106,293,0.1620460991482594,0.7747531923545729,0.36746617864422143,-1.1674228512154041,0.527234681548486,0.01331893448524118,37,0.01331893448524118,707,957.0,0.21394106412331182,0.21283557009713208,0.19978836712656525,616,0.08796474499715358,0.05233380480905234,0,37,0,0,0.5088398296389891,0.17538719287322801,0.2052041552189362,0.21706740122934812,0.672566371681416,0.6249096788922287,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR04,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7159827213822895,0.7236202106780192,0.30020491803278687,0.7343358395989975,0.7129045817570407,0.42618181818181816,0.4638056644338321,0.15136132347524917,1696,683,106,293,0.1620460991482594,0.7711918510020324,0.36756220031127274,-1.2346211679441668,0.47155818664073973,0.01331893448524118,37,0.01331893448524118,707,957.0,0.17769582163899347,0.17788381325871322,0.16294057842202953,616,0.07248622479071827,0.05233380480905234,0,37,0,0,0.4619810346726121,0.16658775861852868,0.1582358379225727,0.177164181338426,0.672566371681416,0.688456336929958,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.040676745860331175,0.570372126615984,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
