algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7970297029702971,0.744514106583072,0.3821428571428571,0.670846394984326,0.8181818181818182,0.4869169510807736,0.32760976988820045,0.09873310219791644,1557,346,105,214,0.18077447513739267,0.8091233607387773,0.4594080684515985,0.10001358188802037,1.0657902789695912,0.04410441044104411,100,0.045004500450045004,509,685.0,0.5968557940060704,0.5753376370681036,0.5786546842700638,437,0.34301481461683136,0.19646365422396855,8,6,6,6,74,0.898034420562908,0.0830379170188798,0.640267217803436,0.7777087042729061,0.6590872819687127,0.0,0.0,True,True,True,False,True,False,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7727272727272727,0.743372533386486,0.35331230283911674,0.7021943573667712,0.7845507094062008,0.4700944386149003,0.3283090650674797,0.09893500818997548,1493,410,95,224,0.18077447513739267,0.8090657055268285,0.4644365242275831,-0.15103274574012437,0.9945112774571326,0.022052205220522054,49,0.022052205220522054,509,685.0,0.5321581300647155,0.5144454139384205,0.5181465799625246,437,0.2718535863581494,0.0962671905697446,7,17,3,4,18,0.8358358442218918,0.11533552611773275,0.5389036696537265,0.7288365949961272,0.5833841102254209,0.5,0.1083974799123704,True,True,True,True,True,True,True,True,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.7556255625562557,0.7320836428869117,0.3328358208955224,0.6990595611285266,0.7651077246452969,0.45096056622851366,0.33472575828331197,0.10160574355002072,1456,447,96,223,0.18077447513739267,0.8067875010089662,0.44533682127724195,-0.38577937578765686,0.9037281793487085,0.016201620162016202,36,0.016201620162016202,509,685.0,0.4679210218553343,0.4534784943102014,0.4560044183121897,437,0.21730107559114212,0.07072691552062868,6,25,2,2,1,0.7647835680029609,0.1409479341615101,0.449774379121317,0.6068172356621785,0.5096894679943833,0.6326530612244898,0.216023323297796,False,True,True,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.756975697569757,0.7315672169170275,0.33383458646616543,0.6959247648902821,0.767209668943773,0.45121951219512196,0.3502205306393231,0.10863097597642372,1460,443,97,222,0.18077447513739267,0.8027779928408699,0.43282582503812156,-0.6746021330065413,0.7757869107415895,0.01395139513951395,31,0.01395139513951395,509,685.0,0.37916511460921193,0.3697790501379428,0.3694958022388969,437,0.16018883882285964,0.060903732809430254,3,26,1,1,0,0.6406295711569714,0.17244217717697852,0.3422202710505752,0.48747364431619644,0.40631003969941626,0.6836734693877551,0.36472910472348435,False,True,False,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7574257425742574,0.7331346150361497,0.33483483483483484,0.6990595611285266,0.767209668943773,0.4527918781725888,0.3655920287259374,0.11583858110413421,1460,443,96,223,0.18077447513739267,0.802820822426889,0.44067473303721433,-0.8373935144302096,0.6876334542672772,0.013051305130513051,29,0.013051305130513051,509,685.0,0.31187592560103633,0.3072537299374895,0.3019468880803371,437,0.12413218151951967,0.05697445972495088,2,26,0,1,0,0.5643188811161302,0.18844727563518512,0.2871335363459019,0.4301915489362948,0.32524352555981645,0.7040816326530612,0.47746854645116443,False,True,True,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),1.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7502250225022502,0.7328446916846358,0.32848837209302323,0.7084639498432602,0.7572254335260116,0.44885799404170806,0.3786119248870861,0.12127603388137774,1441,462,93,226,0.18077447513739267,0.8008325412605405,0.4288351048131945,-0.928651915788611,0.6497007075357043,0.013501350135013501,30,0.013501350135013501,509,685.0,0.27467047406809175,0.27238277755262963,0.26464879341351255,437,0.10613831960569585,0.05893909626719057,2,26,1,1,0,0.4951698303674206,0.19791592003675457,0.25378758757419534,0.3941473753163308,0.2812865963770133,0.6938775510204082,0.5398042930529076,False,True,False,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),1.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.7511251125112511,0.7320655226774422,0.32894736842105265,0.7053291536050157,0.7588018917498687,0.44865403788634095,0.40211146994687047,0.12987025911261874,1444,459,94,225,0.18077447513739267,0.7981869906779759,0.4240360073431972,-1.0550004398544275,0.5835428518513532,0.012601260126012601,28,0.012601260126012601,509,685.0,0.2222847424588028,0.22328145931015606,0.21242522763765653,437,0.08386276341432475,0.0550098231827112,2,26,0,0,0,0.4422596280999256,0.20999445322555205,0.2057693550540578,0.31301723646395135,0.21940219201937766,0.7142857142857143,0.627573788021999,False,False,False,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
Neural Network (MLP),2.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7466246624662466,0.7307427473861599,0.32471264367816094,0.7084639498432602,0.7530215449290594,0.44532019704433495,0.42241404798292986,0.13622561618118095,1433,470,93,226,0.18077447513739267,0.7988113142587928,0.42531370516489375,-1.150503554832504,0.5446837296299537,0.012151215121512151,27,0.012151215121512151,509,685.0,0.18638263919873393,0.18877413096156434,0.1762392499407298,437,0.06966705566049827,0.05304518664047151,2,25,0,0,0,0.3845676266108499,0.20927386088807623,0.16526138857894,0.26330596479502594,0.17946633631645728,0.7244897959183675,0.6877258442148283,False,False,False,True,True,True,False,False,0.744514106583072,0.8091233607387773,0.4594080684515985,0.04410441044104411,0.5968557940060704,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.18077447513739267
