algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7970297029702971,0.744514106583072,0.3821428571428571,0.670846394984326,0.8181818181818182,0.4869169510807736,0.32760976988820045,0.09873310219791644,1557,346,105,214,0.18077447513739267,0.8091233607387773,0.4594080684515985,0.10001358188802037,1.0657902789695912,0.04410441044104411,100,0.045004500450045004,509,685.0,0.5968557940060704,0.5753376370681036,0.5786546842700638,437,0.34301481461683136,0.19646365422396855,8,6,6,6,74,0.898034420562908,0.0830379170188798,0.640267217803436,0.7777087042729061,0.6590872819687127
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7847372210223182,0.7328595458368377,0.36363636363636365,0.66,0.8057190916736754,0.4689165186500888,0.331249387026836,0.0991418978064105,1916,462,136,264,0.18077447513739267,0.7999437552565181,0.44658436038942384,0.06359832514616255,1.049826024401137,0.042476601871850254,123,0.04427645788336933,693,932.5,0.58548096283701,0.5609614916802969,0.5612547631693936,604,0.36976341410556657,0.1774891774891775,12,8,12,7,84,0.916819811364015,0.07713400919443716,0.6850167151331861,0.7549786300191448,0.6564287436787731
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7727272727272727,0.743372533386486,0.35331230283911674,0.7021943573667712,0.7845507094062008,0.4700944386149003,0.3283090650674797,0.09893500818997548,1493,410,95,224,0.18077447513739267,0.8090657055268285,0.4644365242275831,-0.15103274574012437,0.9945112774571326,0.022052205220522054,49,0.022052205220522054,509,685.0,0.5321581300647155,0.5144454139384205,0.5181465799625246,437,0.2718535863581494,0.0962671905697446,7,17,3,4,18,0.8358358442218918,0.11533552611773275,0.5389036696537265,0.7288365949961272,0.5833841102254209
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7577393808495321,0.7233284272497897,0.33210332103321033,0.675,0.7716568544995794,0.4451772464962902,0.33459218307775385,0.10039253207275636,1835,543,130,270,0.18077447513739267,0.7993676408746846,0.44351576891991473,-0.21651449774585677,0.961322150475,0.0251979841612671,71,0.025557955363570913,693,932.5,0.5220929593819928,0.5021798478429594,0.5023531779014244,604,0.2927747707852246,0.10245310245310245,12,23,7,5,24,0.8620201990422275,0.1075465135798647,0.5836742470254663,0.6869368044038614,0.5797121088456677
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.7556255625562557,0.7320836428869117,0.3328358208955224,0.6990595611285266,0.7651077246452969,0.45096056622851366,0.33472575828331197,0.10160574355002072,1456,447,96,223,0.18077447513739267,0.8067875010089662,0.44533682127724195,-0.38577937578765686,0.9037281793487085,0.016201620162016202,36,0.016201620162016202,509,685.0,0.4679210218553343,0.4534784943102014,0.4560044183121897,437,0.21730107559114212,0.07072691552062868,6,25,2,2,1,0.7647835680029609,0.1409479341615101,0.449774379121317,0.6068172356621785,0.5096894679943833
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.750179985601152,0.7199526913372583,0.3241626794258373,0.6775,0.7624053826745164,0.43851132686084143,0.343019139491767,0.1040491708005676,1813,565,129,271,0.18077447513739267,0.7963787846930194,0.44216232790029997,-0.451346624389843,0.8638258249756314,0.021958243340532757,61,0.021958243340532757,693,932.5,0.4617584064805929,0.4457324001926458,0.44450299510562247,604,0.23583469523184022,0.08802308802308802,12,36,4,4,5,0.7912237787412272,0.1294515396261381,0.49861706247746623,0.5752783690889677,0.5081301073471788
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.756975697569757,0.7315672169170275,0.33383458646616543,0.6959247648902821,0.767209668943773,0.45121951219512196,0.3502205306393231,0.10863097597642372,1460,443,97,222,0.18077447513739267,0.8027779928408699,0.43282582503812156,-0.6746021330065413,0.7757869107415895,0.01395139513951395,31,0.01395139513951395,509,685.0,0.37916511460921193,0.3697790501379428,0.3694958022388969,437,0.16018883882285964,0.060903732809430254,3,26,1,1,0,0.6406295711569714,0.17244217717697852,0.3422202710505752,0.48747364431619644,0.40631003969941626
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7433405327573794,0.7138782590412112,0.31609870740305523,0.6725,0.7552565180824222,0.43005595523581136,0.362669555061626,0.11314556819788615,1796,582,131,269,0.18077447513739267,0.7920474137931034,0.432064235602339,-0.7381768952179439,0.7302747126423644,0.017998560115190784,50,0.017998560115190784,693,932.5,0.3753283010704162,0.36539703880639646,0.36091007368538663,604,0.1747379569920393,0.07215007215007214,9,37,0,2,2,0.728812371359931,0.15323851588699555,0.38590846239217647,0.4910422836740811,0.40406468833123305
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7574257425742574,0.7331346150361497,0.33483483483483484,0.6990595611285266,0.767209668943773,0.4527918781725888,0.3655920287259374,0.11583858110413421,1460,443,96,223,0.18077447513739267,0.802820822426889,0.44067473303721433,-0.8373935144302096,0.6876334542672772,0.013051305130513051,29,0.013051305130513051,509,685.0,0.31187592560103633,0.3072537299374895,0.3019468880803371,437,0.12413218151951967,0.05697445972495088,2,26,0,1,0,0.5643188811161302,0.18844727563518512,0.2871335363459019,0.4301915489362948,0.32524352555981645
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7393808495320374,0.7105256518082422,0.3116279069767442,0.67,0.7510513036164844,0.4253968253968254,0.38374333957707546,0.12268024329374423,1786,592,132,268,0.18077447513739267,0.7885697014297729,0.4219055848797481,-0.9083129910023937,0.6342663189454272,0.014758819294456443,41,0.014758819294456443,693,932.5,0.30737852613817,0.3027049623382291,0.2930226117007297,604,0.1349836203408004,0.05916305916305916,3,36,0,0,2,0.6642939632965459,0.16682359613428907,0.3266709783201009,0.4292961011330287,0.3209016147116945
Neural Network (MLP),1.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7502250225022502,0.7328446916846358,0.32848837209302323,0.7084639498432602,0.7572254335260116,0.44885799404170806,0.3786119248870861,0.12127603388137774,1441,462,93,226,0.18077447513739267,0.8008325412605405,0.4288351048131945,-0.928651915788611,0.6497007075357043,0.013501350135013501,30,0.013501350135013501,509,685.0,0.27467047406809175,0.27238277755262963,0.26464879341351255,437,0.10613831960569585,0.05893909626719057,2,26,1,1,0,0.4951698303674206,0.19791592003675457,0.25378758757419534,0.3941473753163308,0.2812865963770133
