restart,seed,epoch,train_combined_loss,validation_combined_loss,validation_data_loss,validation_rule_loss
0.0,42.0,1.0,0.7004989877123176,0.5655404329299927,0.4233260452747345,0.18961922824382782
0.0,42.0,2.0,0.55623248987711,0.5483702421188354,0.4127388894557953,0.18084175884723663
0.0,42.0,3.0,0.5458723799605113,0.5421063899993896,0.40580275654792786,0.18173813819885254
0.0,42.0,4.0,0.5422178892768198,0.53761887550354,0.4027756154537201,0.17979104816913605
0.0,42.0,5.0,0.5367039560971176,0.535393238067627,0.4019830822944641,0.1778801679611206
0.0,42.0,6.0,0.5305013040483334,0.532332181930542,0.40057018399238586,0.17568261921405792
0.0,42.0,7.0,0.5294130294710172,0.5300204753875732,0.4071422517299652,0.16383765637874603
0.0,42.0,8.0,0.5247020841167119,0.5275909304618835,0.40669065713882446,0.1612003892660141
0.0,42.0,9.0,0.519512538856396,0.5251391530036926,0.4059969484806061,0.15885624289512634
0.0,42.0,10.0,0.5162619301901046,0.5215580463409424,0.4067140817642212,0.15312530100345612
0.0,42.0,11.0,0.5166049404703631,0.5199259519577026,0.40350979566574097,0.15522156655788422
0.0,42.0,12.0,0.5123286988394355,0.5163245797157288,0.39418530464172363,0.16285234689712524
0.0,42.0,13.0,0.5098771069991661,0.5149268507957458,0.40399307012557983,0.1479116976261139
0.0,42.0,14.0,0.5068675967742953,0.5134684443473816,0.40032070875167847,0.1508636176586151
0.0,42.0,15.0,0.5084843603148922,0.5123211145401001,0.3955686390399933,0.1556699424982071
0.0,42.0,16.0,0.5051798641273861,0.5109720230102539,0.39532792568206787,0.15419216454029083
0.0,42.0,17.0,0.5025685966952109,0.5108423233032227,0.3998467028141022,0.14799414575099945
0.0,42.0,18.0,0.5057745016203566,0.5102306604385376,0.3998812437057495,0.14713254570960999
0.0,42.0,19.0,0.5030087883815718,0.5097623467445374,0.3901371955871582,0.15950022637844086
0.0,42.0,20.0,0.5042892537001387,0.5101355314254761,0.38754379749298096,0.16345566511154175
0.0,42.0,21.0,0.5023028585371629,0.5084592700004578,0.39512670040130615,0.15111008286476135
0.0,42.0,22.0,0.5009338214193955,0.5081582069396973,0.3934342861175537,0.152965247631073
0.0,42.0,23.0,0.502164699537419,0.5084866285324097,0.3881727457046509,0.1604185551404953
0.0,42.0,24.0,0.5017486871462197,0.5084485411643982,0.38656824827194214,0.1625070422887802
0.0,42.0,25.0,0.5016652624542123,0.5079079270362854,0.38856297731399536,0.15912660956382751
0.0,42.0,26.0,0.4998385772053584,0.5075734853744507,0.3946644961833954,0.15054528415203094
0.0,42.0,27.0,0.5006835651689611,0.5073128342628479,0.39162477850914,0.15425075590610504
0.0,42.0,28.0,0.49961514316848915,0.5075342059135437,0.3925369381904602,0.15332970023155212
0.0,42.0,29.0,0.4996193632860885,0.5072933435440063,0.39231422543525696,0.15330548584461212
0.0,42.0,30.0,0.5002749786415874,0.5075913667678833,0.3874545991420746,0.16018231213092804
0.0,42.0,31.0,0.4982925147916386,0.506888747215271,0.3894631266593933,0.1565675288438797
0.0,42.0,32.0,0.49968753110287845,0.5064548254013062,0.3956209123134613,0.14777851104736328
0.0,42.0,33.0,0.4978382895901744,0.5074051022529602,0.40139240026474,0.14135029911994934
0.0,42.0,34.0,0.4976275151065812,0.5083739757537842,0.38256269693374634,0.167748361825943
0.0,42.0,35.0,0.5003179689370031,0.5064370632171631,0.39651259779930115,0.14656591415405273
0.0,42.0,36.0,0.49764088879053997,0.5065544843673706,0.3930230736732483,0.1513751745223999
0.0,42.0,37.0,0.4969905556543236,0.5062682628631592,0.39426708221435547,0.1493348628282547
0.0,42.0,38.0,0.49946603516852095,0.5059201717376709,0.39148858189582825,0.15257549285888672
0.0,42.0,39.0,0.49685684524010587,0.5077780485153198,0.3976326584815979,0.1468605101108551
0.0,42.0,40.0,0.49447321881052825,0.5055159330368042,0.39430785179138184,0.1482774317264557
0.0,42.0,41.0,0.49504922718335537,0.5064781904220581,0.3980448246002197,0.14457780122756958
0.0,42.0,42.0,0.49579753566369217,0.5059619545936584,0.3969952464103699,0.14528895914554596
0.0,42.0,43.0,0.4954738041287409,0.5060708522796631,0.3926059305667877,0.1512865573167801
0.0,42.0,44.0,0.4992444621688134,0.506335973739624,0.3989114463329315,0.14323273301124573
0.0,42.0,45.0,0.4949484676133397,0.5054596066474915,0.3957065939903259,0.1463373303413391
0.0,42.0,46.0,0.4930518290680606,0.5052890777587891,0.39682647585868835,0.1446167677640915
0.0,42.0,47.0,0.49656745070255526,0.5053181648254395,0.39257389307022095,0.1503257155418396
0.0,42.0,48.0,0.4946752913361508,0.5047680735588074,0.3915899693965912,0.15090413391590118
0.0,42.0,49.0,0.49373586188414675,0.5052739381790161,0.4000055193901062,0.14035789668560028
0.0,42.0,50.0,0.4948205135833343,0.5053432583808899,0.39703795313835144,0.14440707862377167
0.0,42.0,51.0,0.4955994039362554,0.5055941343307495,0.39200451970100403,0.15145277976989746
0.0,42.0,52.0,0.49244176166682324,0.5057957172393799,0.3891306221485138,0.15555350482463837
0.0,42.0,53.0,0.4929151678483121,0.5067130923271179,0.40422534942626953,0.13665030896663666
0.0,42.0,54.0,0.4941407830013174,0.5050164461135864,0.3967002034187317,0.14442168176174164
0.0,42.0,55.0,0.49383106818077244,0.5057802796363831,0.39836838841438293,0.14321587979793549
0.0,42.0,56.0,0.4945833265187574,0.5049904584884644,0.39278677105903625,0.14960496127605438
0.0,42.0,57.0,0.4926330235904898,0.5054899454116821,0.39969155192375183,0.14106449484825134
0.0,42.0,58.0,0.49358266083336494,0.5062001943588257,0.4059154689311981,0.13371296226978302
0.0,42.0,59.0,0.49346868110553027,0.5047619938850403,0.3975839614868164,0.14290404319763184
0.0,42.0,60.0,0.492257467439203,0.5045690536499023,0.3907678425312042,0.15173497796058655
0.0,42.0,61.0,0.49514056580140514,0.5063087344169617,0.3987726867198944,0.14338138699531555
0.0,42.0,62.0,0.49363446836639835,0.5050187706947327,0.3993547856807709,0.1408853381872177
0.0,42.0,63.0,0.49394173599809116,0.504903256893158,0.3896089196205139,0.15372580289840698
0.0,42.0,64.0,0.492668322239542,0.5054209232330322,0.4038061201572418,0.13548636436462402
0.0,42.0,65.0,0.49156523037752375,0.5048572421073914,0.3925069272518158,0.14980043470859528
0.0,42.0,66.0,0.4931875316983096,0.5046312212944031,0.3969482183456421,0.14357736706733704
0.0,42.0,67.0,0.4915116945691447,0.5043437480926514,0.3986155092716217,0.14097100496292114
0.0,42.0,68.0,0.4918088529729826,0.5043142437934875,0.4017455577850342,0.1367582529783249
0.0,42.0,69.0,0.4919168130645459,0.5044154524803162,0.3888842761516571,0.15404154360294342
0.0,42.0,70.0,0.4903614764782493,0.5050256252288818,0.39262646436691284,0.14986558258533478
0.0,42.0,71.0,0.4957981791341452,0.5050930976867676,0.40310657024383545,0.13598206639289856
0.0,42.0,72.0,0.49164394801611117,0.5050711631774902,0.4000587463378906,0.1400165557861328
0.0,42.0,73.0,0.49220523437078856,0.5045696496963501,0.4006016254425049,0.13862407207489014
0.0,42.0,74.0,0.49481786605247485,0.5040342211723328,0.3978624641895294,0.1415623128414154
0.0,42.0,75.0,0.4886162981002818,0.5039626359939575,0.39560070633888245,0.1444825679063797
0.0,42.0,76.0,0.4906888107387205,0.5036423802375793,0.39401474595069885,0.14617015421390533
0.0,42.0,77.0,0.48848151929552225,0.5053736567497253,0.40064531564712524,0.1396377831697464
0.0,42.0,78.0,0.4900424437868597,0.5044902563095093,0.40434977412223816,0.13352064788341522
0.0,42.0,79.0,0.4904236579999147,0.5040709376335144,0.40231844782829285,0.135670006275177
0.0,42.0,80.0,0.4919863687158561,0.5046594738960266,0.4046665132045746,0.13332396745681763
0.0,42.0,81.0,0.48968053973031606,0.5036370754241943,0.3965684771537781,0.1427581012248993
0.0,42.0,82.0,0.4894825524105314,0.50303053855896,0.39812925457954407,0.13986836373806
0.0,42.0,83.0,0.4891505077483059,0.5023515224456787,0.39375314116477966,0.14479781687259674
0.0,42.0,84.0,0.4893015241826114,0.5027440190315247,0.39515677094459534,0.14344966411590576
0.0,42.0,85.0,0.49184091879445496,0.502518355846405,0.3926509916782379,0.14648981392383575
0.0,42.0,86.0,0.4911083938007723,0.5036450624465942,0.39970311522483826,0.1385892778635025
0.0,42.0,87.0,0.49076662818690964,0.5032784342765808,0.3925800919532776,0.1475977748632431
0.0,42.0,88.0,0.49238347418739536,0.5028718113899231,0.39299288392066956,0.1465052217245102
0.0,42.0,89.0,0.4914852130307168,0.5034034252166748,0.39652788639068604,0.14250068366527557
0.0,42.0,90.0,0.4881066562583961,0.5029914975166321,0.39816445112228394,0.13976940512657166
0.0,42.0,91.0,0.4888155066356011,0.5032244324684143,0.39840611815452576,0.13975778222084045
0.0,42.0,92.0,0.4895012052838162,0.5027356743812561,0.3923301100730896,0.14720743894577026
0.0,42.0,93.0,0.4886039111160914,0.502669632434845,0.3872848451137543,0.1538463681936264
