restart,seed,epoch,train_combined_loss,validation_combined_loss,validation_data_loss,validation_rule_loss
0.0,42.0,1.0,0.9348193075802558,0.7640514969825745,0.5047995448112488,0.12962597608566284
0.0,42.0,2.0,0.7483811537989934,0.7316666841506958,0.485471248626709,0.123097725212574
0.0,42.0,3.0,0.7283316371592851,0.7200514674186707,0.4775547981262207,0.12124833464622498
0.0,42.0,4.0,0.7188334919484548,0.7093241214752197,0.471986323595047,0.11866890639066696
0.0,42.0,5.0,0.7041278474400444,0.6994472742080688,0.4673207402229309,0.11606325209140778
0.0,42.0,6.0,0.6891225337438431,0.690420389175415,0.4640205502510071,0.11319992691278458
0.0,42.0,7.0,0.6826193768170226,0.6821840405464172,0.4794555902481079,0.10136423259973526
0.0,42.0,8.0,0.674318085800999,0.6763615608215332,0.48193758726119995,0.09721200168132782
0.0,42.0,9.0,0.666007271206203,0.6727924346923828,0.4847525358200073,0.09401995688676834
0.0,42.0,10.0,0.6613553776172669,0.6686526536941528,0.4830055236816406,0.0928235724568367
0.0,42.0,11.0,0.6632864047711586,0.6661942005157471,0.4721295237541199,0.09703235328197479
0.0,42.0,12.0,0.6577683173727266,0.6632393598556519,0.4567873179912567,0.10322602838277817
0.0,42.0,13.0,0.6558763181557963,0.661235511302948,0.4742869436740875,0.09347427636384964
0.0,42.0,14.0,0.6504525983516745,0.6593614220619202,0.46945953369140625,0.09495093673467636
0.0,42.0,15.0,0.6539258712008569,0.6582146883010864,0.46454036235809326,0.09683716297149658
0.0,42.0,16.0,0.6513202518221138,0.6558003425598145,0.4636988043785095,0.09605076164007187
0.0,42.0,17.0,0.6473840389120351,0.6556776762008667,0.47420379519462585,0.09073695540428162
0.0,42.0,18.0,0.6501479980510876,0.6551117897033691,0.47493866086006165,0.09008656442165375
0.0,42.0,19.0,0.6461703796093954,0.6543365120887756,0.4549001157283783,0.09971820563077927
0.0,42.0,20.0,0.6474817179142535,0.6546558141708374,0.45937299728393555,0.09764142334461212
0.0,42.0,21.0,0.6416547588477285,0.6521323323249817,0.45912450551986694,0.09650390595197678
0.0,42.0,22.0,0.6422352042966295,0.6515463590621948,0.47144195437431335,0.09005220234394073
0.0,42.0,23.0,0.6448037703354423,0.6508830785751343,0.46136167645454407,0.0947607159614563
0.0,42.0,24.0,0.6433470016044667,0.65184086561203,0.4509769082069397,0.10043198615312576
0.0,42.0,25.0,0.6413105315284102,0.6498911380767822,0.4597785472869873,0.09505630284547806
0.0,42.0,26.0,0.6396437302963343,0.6488908529281616,0.46587058901786804,0.09151014685630798
0.0,42.0,27.0,0.6408269215912225,0.6479874849319458,0.4658820927143097,0.09105269610881805
0.0,42.0,28.0,0.6380788906183495,0.6480553150177002,0.46177995204925537,0.09313767403364182
0.0,42.0,29.0,0.6370976296182068,0.6476873159408569,0.45762956142425537,0.09502888470888138
0.0,42.0,30.0,0.6385667107139883,0.6484817266464233,0.45374518632888794,0.0973682552576065
0.0,42.0,31.0,0.6360336987715554,0.6466995477676392,0.46020495891571045,0.09324730932712555
