algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
neural:single_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.007199424046076314,20,0.007199424046076314,130,130.0,0.07331812889434589,0.07331812889434589,0.07331812889434587,130,0.0036508421052306463,0.15384615384615385,20,0.07331812889434587
neural:single_LR02,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.005039596832253419,14,0.005039596832253419,108,108.0,0.06551574417792352,0.06551574417792352,0.06551574417792355,108,0.0026808470563863974,0.12962962962962962,14,0.06551574417792355
neural:single_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6954643628509719,0.7262418340934302,0.28934967012252594,0.7694235588972431,0.6830601092896175,0.42054794520547945,0.34031556106716926,0.10325671567352004,1625,754,92,307,0.11813894162575404,0.7912440833062059,0.39804004480435606,-0.029050582244590097,0.9907065506069561,0.005399568034557235,15,0.005399568034557235,130,130.0,0.06638871823461391,0.06638871823461391,0.06638871823461391,130,0.003287153801424815,0.11538461538461539,15,0.06638871823461391
neural:single_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7152627789776818,0.7294576289399413,0.302020202020202,0.7493734335839599,0.7095418242959226,0.43052555795536357,0.3273631959044545,0.0973391754804633,1688,691,100,299,0.11813894162575404,0.8025997107101508,0.48377644110900214,0.2609485921327279,1.1220379899308814,0.004319654427645789,12,0.004319654427645789,108,108.0,0.05968825708798788,0.05968825708798788,0.05968825708798788,108,0.002432719576770111,0.1111111111111111,12,0.05968825708798788
neural:single_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7116630669546437,0.7304847869990234,0.30019880715705766,0.7568922305764411,0.7040773434216057,0.4298932384341637,0.3408283413447033,0.10350770531446758,1675,704,97,302,0.11813894162575404,0.790912232240964,0.3967813493121036,-0.03705060059174079,0.9590327502010944,0.003599712023038157,10,0.003599712023038157,130,130.0,0.05799566815869931,0.05799566815869931,0.0579956681586993,130,0.0028489199456159715,0.07692307692307693,10,0.0579956681586993
neural:single_LR02,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.730381569474442,0.7299411833492938,0.31223175965665234,0.7293233082706767,0.7305590584279109,0.43726521412471825,0.32832155102237415,0.09754190786020178,1738,641,108,291,0.11813894162575404,0.8005327526466439,0.4818918621612225,0.24508663443545087,1.081333609963023,0.0021598272138228943,6,0.0021598272138228943,108,108.0,0.05110495382586472,0.05110495382586472,0.0511049538258647,108,0.0020661993523906717,0.05555555555555555,6,0.0511049538258647
neural:single_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7015838732901368,0.7277288429143476,0.2932692307692308,0.7644110275689223,0.691046658259773,0.42390548992355803,0.3410611147622955,0.1035195963946194,1644,735,94,305,0.11813894162575404,0.7899841027537318,0.3915126037949494,-0.04392757115214822,0.9803219224559553,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.055733273612956206,0.055733273612956206,0.055733273612956206,130,0.0027317046048734007,0.06923076923076923,9,0.055733273612956206
neural:single_LR02,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7213822894168467,0.7299016772700984,0.30610134436401243,0.7418546365914787,0.717948717948718,0.4333821376281113,0.32819644741311316,0.0975023725773765,1708,671,103,296,0.11813894162575404,0.8004442590292461,0.4834013417514795,0.241466494375265,1.1077403890085262,0.0021598272138228943,6,0.0021598272138228943,108,108.0,0.04909827129880863,0.04909827129880863,0.04909827129880863,108,0.001982689132996474,0.05555555555555555,6,0.04909827129880863
neural:single_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.701223902087833,0.7264757100822674,0.2925890279114533,0.7619047619047619,0.691046658259773,0.4228094575799722,0.341518983100275,0.1036140210559605,1644,735,95,304,0.11813894162575404,0.7890475453029379,0.393255112142921,-0.06950395009570931,0.9587804433757993,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.04701091078802561,0.04701091078802561,0.04701091078802561,130,0.0022895167158662588,0.06923076923076923,9,0.04701091078802561
neural:single_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7217422606191505,0.7311548101021785,0.3068181818181818,0.7443609022556391,0.717948717948718,0.43452816386247256,0.32902598390083515,0.09756888059309342,1708,671,102,297,0.11813894162575404,0.7984763295375893,0.4817122448198523,0.21011766494495512,1.0822953436397669,0.0017998560115190785,5,0.0017998560115190785,108,108.0,0.04121440229362544,0.04121440229362544,0.04121440229362543,108,0.0016579423990517924,0.046296296296296294,5,0.04121440229362543
neural:single_LR02,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7023038156947444,0.7250203061247065,0.2926356589147287,0.7568922305764411,0.6931483816729719,0.4220824598183089,0.3418039492344894,0.10365272252398353,1649,730,97,302,0.11813894162575404,0.7882827076097136,0.39286763452625073,-0.07040353273643518,0.9539563814644961,0.0028797696184305254,8,0.0028797696184305254,130,130.0,0.04314874298631762,0.04314874298631762,0.04314874298631762,130,0.0020952493728340813,0.06153846153846154,8,0.04314874298631762
neural:single_LR02,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7228221742260619,0.7317853271261382,0.3077720207253886,0.7443609022556391,0.7192097519966373,0.43548387096774194,0.32944737548946745,0.09762070284725877,1711,668,102,297,0.11813894162575404,0.7980201660098123,0.4817823688956918,0.2079645038981914,1.076389272593459,0.0010799136069114472,3,0.0010799136069114472,108,108.0,0.037636617773476946,0.037636617773476946,0.037636617773476946,108,0.0015095271841105748,0.027777777777777776,3,0.037636617773476946
neural:single_LR02,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7134629229661628,0.7294497277241021,0.30090270812437314,0.7518796992481203,0.7070197562000841,0.4297994269340974,0.34233661430053597,0.10367187587239136,1682,697,99,300,0.11813894162575404,0.7871449325288842,0.39237832558141117,-0.05359894781428037,0.9337512299075973,0.0007199424046076314,2,0.0007199424046076314,130,130.0,0.036319171404466034,0.036319171404466034,0.036319171404466034,130,0.001756503736753654,0.015384615384615385,2,0.036319171404466034
neural:single_LR02,1.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7329013678905687,0.731412389738533,0.3145945945945946,0.7293233082706767,0.7335014712063892,0.4395770392749245,0.3306482218808939,0.0976359153774491,1745,634,108,291,0.11813894162575404,0.7957245994346943,0.4874254235936696,0.21813107099870757,1.0498415099753313,0.0003599712023038157,1,0.0003599712023038157,108,108.0,0.030893023432675106,0.030893023432675106,0.030893023432675106,108,0.0012325292653107159,0.009259259259259259,1,0.030893023432675106
neural:single_LR02,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7095032397408207,0.7292237529511041,0.2984189723320158,0.7568922305764411,0.7015552753257671,0.42806520198440823,0.3424598704929276,0.10351930050580098,1669,710,97,302,0.11813894162575404,0.7862557823731248,0.3963029794444254,-0.04211983228566046,0.9480208479307595,0.0010799136069114472,3,0.0010799136069114472,130,130.0,0.03322857278160368,0.03322857278160368,0.03322857278160369,130,0.0016003496291803494,0.023076923076923078,3,0.03322857278160369
neural:single_LR02,2.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7300215982721382,0.7286880505172135,0.31149301825993553,0.7268170426065163,0.7305590584279109,0.43609022556390975,0.3309511937317565,0.09774162249833923,1738,641,109,290,0.11813894162575404,0.7954085508011306,0.48415251464456094,0.23097393125765348,1.0655465947781237,0.0,0,0.0,108,108.0,0.02856915425254107,0.02856915425254107,0.02856915425254107,108,0.0011378853547565162,0.0,0,0.02856915425254107
