algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
neural:single_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.007199424046076314,20,0.007199424046076314,130,130.0,0.07331812889434589,0.07331812889434589,0.07331812889434587,130,0.0036508421052306463,0.15384615384615385,20,0.07331812889434587,0.0,0.0,True,True,True,False,True,False,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6954643628509719,0.7262418340934302,0.28934967012252594,0.7694235588972431,0.6830601092896175,0.42054794520547945,0.34031556106716926,0.10325671567352004,1625,754,92,307,0.11813894162575404,0.7912440833062059,0.39804004480435606,-0.029050582244590097,0.9907065506069561,0.005399568034557235,15,0.005399568034557235,130,130.0,0.06638871823461391,0.06638871823461391,0.06638871823461391,130,0.003287153801424815,0.11538461538461539,15,0.06638871823461391,0.25000000000000006,0.09451155893131846,True,True,True,False,True,True,False,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7116630669546437,0.7304847869990234,0.30019880715705766,0.7568922305764411,0.7040773434216057,0.4298932384341637,0.3408283413447033,0.10350770531446758,1675,704,97,302,0.11813894162575404,0.790912232240964,0.3967813493121036,-0.03705060059174079,0.9590327502010944,0.003599712023038157,10,0.003599712023038157,130,130.0,0.05799566815869931,0.05799566815869931,0.0579956681586993,130,0.0028489199456159715,0.07692307692307693,10,0.0579956681586993,0.5,0.20898597613868192,True,True,True,True,True,True,True,True,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7015838732901368,0.7277288429143476,0.2932692307692308,0.7644110275689223,0.691046658259773,0.42390548992355803,0.3410611147622955,0.1035195963946194,1644,735,94,305,0.11813894162575404,0.7899841027537318,0.3915126037949494,-0.04392757115214822,0.9803219224559553,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.055733273612956206,0.055733273612956206,0.055733273612956206,130,0.0027317046048734007,0.06923076923076923,9,0.055733273612956206,0.55,0.23984320858392474,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.701223902087833,0.7264757100822674,0.2925890279114533,0.7619047619047619,0.691046658259773,0.4228094575799722,0.341518983100275,0.1036140210559605,1644,735,95,304,0.11813894162575404,0.7890475453029379,0.393255112142921,-0.06950395009570931,0.9587804433757993,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.04701091078802561,0.04701091078802561,0.04701091078802561,130,0.0022895167158662588,0.06923076923076923,9,0.04701091078802561,0.55,0.35880918543665974,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7023038156947444,0.7250203061247065,0.2926356589147287,0.7568922305764411,0.6931483816729719,0.4220824598183089,0.3418039492344894,0.10365272252398353,1649,730,97,302,0.11813894162575404,0.7882827076097136,0.39286763452625073,-0.07040353273643518,0.9539563814644961,0.0028797696184305254,8,0.0028797696184305254,130,130.0,0.04314874298631762,0.04314874298631762,0.04314874298631762,130,0.0020952493728340813,0.06153846153846154,8,0.04314874298631762,0.6,0.4114860316676037,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7134629229661628,0.7294497277241021,0.30090270812437314,0.7518796992481203,0.7070197562000841,0.4297994269340974,0.34233661430053597,0.10367187587239136,1682,697,99,300,0.11813894162575404,0.7871449325288842,0.39237832558141117,-0.05359894781428037,0.9337512299075973,0.0007199424046076314,2,0.0007199424046076314,130,130.0,0.036319171404466034,0.036319171404466034,0.036319171404466034,130,0.001756503736753654,0.015384615384615385,2,0.036319171404466034,0.9,0.5046358662970888,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
neural:single_LR02,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7095032397408207,0.7292237529511041,0.2984189723320158,0.7568922305764411,0.7015552753257671,0.42806520198440823,0.3424598704929276,0.10351930050580098,1669,710,97,302,0.11813894162575404,0.7862557823731248,0.3963029794444254,-0.04211983228566046,0.9480208479307595,0.0010799136069114472,3,0.0010799136069114472,130,130.0,0.03322857278160368,0.03322857278160368,0.03322857278160369,130,0.0016003496291803494,0.023076923076923078,3,0.03322857278160369,0.85,0.5467891327465916,True,True,True,True,True,True,True,False,0.7331617189253082,0.7923144346785417,0.3945487977180163,0.007199424046076314,0.07331812889434589,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.11813894162575404
