algorithm_key,fold,algorithm,scenario,selected_lambda,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,validation_balanced_accuracy,validation_roc_auc,validation_average_precision,validation_patient_violation_rate,validation_soft_rule_violation,test_balanced_accuracy,test_delta_balanced_accuracy,test_sensitivity,test_delta_sensitivity,test_specificity,test_delta_specificity,test_roc_auc,test_delta_roc_auc,test_average_precision,test_delta_average_precision,test_patient_violation_rate,test_delta_patient_violation_rate,test_soft_rule_violation,test_delta_soft_rule_violation,test_log_loss,test_delta_log_loss,test_brier_score,test_delta_brier_score
xgboost,1,XGBoost,primary,0.1,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,ba_strict_0.005,0.1,0.005,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,ba_permissive_0.020,0.1,0.02,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,auc_strict_0.005,0.1,0.01,0.005,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,auc_permissive_0.020,0.1,0.01,0.02,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,ap_strict_0.010,0.1,0.01,0.01,0.01,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,ap_permissive_0.030,0.1,0.01,0.01,0.03,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,violation_strict_0.50,0.1,0.01,0.01,0.02,0.5,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,1,XGBoost,violation_permissive_0.30,0.1,0.01,0.01,0.02,0.3,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",0.7397937920162356,0.8063312011886858,0.4479235781181604,0.022052205220522,0.5014303963904179,0.7171206705287809,-0.007201168115749668,0.7293233082706767,0.01754385964912286,0.7049180327868853,-0.031946195880622086,0.7928053635560107,-0.0007258583617512082,0.4156034796892215,-0.007978791228509974,0.023398128149748,-0.019438444924406,0.5075535994825214,-0.06769512345426887,0.3402943117975025,0.0036594274377369507,0.1030390638014725,0.0016932727553296972
xgboost,2,XGBoost,primary,0.0,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,ba_strict_0.005,0.0,0.005,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,ba_permissive_0.020,0.0,0.02,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,auc_strict_0.005,0.0,0.01,0.005,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,auc_permissive_0.020,0.0,0.01,0.02,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,ap_strict_0.010,0.0,0.01,0.01,0.01,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,ap_permissive_0.030,0.0,0.01,0.01,0.03,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,violation_strict_0.50,0.0,0.01,0.01,0.02,0.5,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,2,XGBoost,violation_permissive_0.30,0.0,0.01,0.01,0.02,0.3,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7393770271984343,0.8037416585262998,0.4250883223358764,0.0198019801980198,0.5736445579221959,0.7105550883095038,0.0,0.8,0.0,0.6211101766190076,0.0,0.8014092724978974,0.0,0.4969278398931605,0.0,0.0259179265658747,0.0,0.5848231899833947,0.0,0.3270574497591066,0.0,0.0966754545585032,0.0
xgboost,3,XGBoost,primary,0.0,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,0.7445594071067462,0.8040439365660885,0.4258075038129716,0.0396039603960396,0.5830163499283127,0.7374876425715255,0.0,0.7192982456140351,0.0,0.755677039529016,0.0,0.8002923625295366,0.0,0.4430190809220333,0.0,0.0388908894490457,0.0,0.5763350210130185,0.0,0.3323546100178852,0.0,0.1001149354365521,0.0
