algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
lightgbm:leave_out_LR01,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.03959683225341973,112,0.040316774658027354,711,961.0,0.5683256315552316,0.5412712759395801,0.5429557649202511,621,0.3572463158669537,0.15752461322081576,9,6,6,91,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444,0.0,0.0,True,True,True,False,True,False,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7257019438444925,0.7272089429121353,0.30793650793650795,0.7293233082706767,0.725094577553594,0.4330357142857143,0.34544879190369704,0.10531367379471362,1725,654,108,291,0.1620460991482594,0.7878365522886662,0.40648126614078167,-0.38801697137355606,0.8705187599842099,0.017638588912886968,49,0.017638588912886968,711,961.0,0.49960941171986006,0.4773969790555399,0.4782407407596638,621,0.27726248891629035,0.06891701828410689,31,2,6,10,0.10669230281017425,0.5314869277893824,0.6060220266982568,0.5627815702171863,0.5545454545454546,0.12090994320866473,True,True,True,True,True,True,True,True,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7170626349892009,0.7200788857389375,0.2994818652849741,0.7243107769423559,0.7158469945355191,0.4237536656891496,0.3576664658681847,0.11067425039584315,1703,676,110,289,0.1620460991482594,0.783001008195141,0.3967816294192985,-0.6175396099490347,0.7816765695974288,0.014038876889848811,39,0.014038876889848811,711,961.0,0.4262262913578696,0.4095240983578656,0.4079806242510498,621,0.21100377640330956,0.05485232067510549,36,1,2,0,0.13128353066658513,0.43892064605635583,0.5514898787417636,0.473727328249881,0.6454545454545455,0.2500315528766581,False,True,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7145428365730742,0.7227795213127396,0.29897959183673467,0.7343358395989975,0.7112232030264817,0.4249456127628716,0.3792466243309,0.12038600344474332,1692,687,106,293,0.1620460991482594,0.7783751096952132,0.3912382190513101,-0.8536240472668408,0.6648398198563048,0.012958963282937365,36,0.012958963282937365,711,961.0,0.34201476639861556,0.3309169397424224,0.32578732886816153,621,0.1550094387160461,0.05063291139240506,36,0,0,0,0.14746132874139678,0.3406360498182068,0.45609996187097707,0.3735769854088289,0.6727272727272727,0.39820633205881106,True,False,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7167026637868971,0.7229975948698986,0.3004115226337449,0.731829573934837,0.7141656158049601,0.4259664478482859,0.39745026267105515,0.12827162367965228,1699,680,107,292,0.1620460991482594,0.7761243166765168,0.38130851093154516,-0.9792356524474769,0.6055798916201922,0.012958963282937365,36,0.012958963282937365,711,961.0,0.2903645307813205,0.28274282146005547,0.27481366020821785,621,0.1257997944700111,0.05063291139240506,36,0,0,0,0.15601635276389136,0.28180615201731213,0.40856520801011686,0.31204067209099845,0.6727272727272727,0.4890877436114686,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.714902807775378,0.7229896936540595,0.2992849846782431,0.7343358395989975,0.7116435477091215,0.42525399129172714,0.4146804327305116,0.13512188850993356,1693,686,106,293,0.1620460991482594,0.7744071191008205,0.3784443407048561,-1.0670822729518652,0.5615734508138293,0.012958963282937365,36,0.012958963282937365,711,961.0,0.25315152180333056,0.2479619937277246,0.23778925318208508,621,0.10684269379248391,0.05063291139240506,36,0,0,0,0.1612589215270545,0.23918665350916343,0.3730485856742322,0.2679105396503537,0.6727272727272727,0.5545660660938737,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7145428365730742,0.7227795213127396,0.29897959183673467,0.7343358395989975,0.7112232030264817,0.4249456127628716,0.4415066675631282,0.14477019860250484,1692,687,106,293,0.1620460991482594,0.7736670385505586,0.3768709227043066,-1.1747245066329002,0.5119338830156702,0.012958963282937365,36,0.012958963282937365,711,961.0,0.20621588122013332,0.20411068414228187,0.19080342484599105,621,0.08485991192013813,0.05063291139240506,36,0,0,0,0.16706730922768692,0.18996672790704894,0.31764075526177077,0.21220306170954267,0.6727272727272727,0.6371518900954362,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm:leave_out_LR01,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7138228941684666,0.7223591766300999,0.2983706720977597,0.7343358395989975,0.7103825136612022,0.42433019551049966,0.4642413226319245,0.15175050117181257,1690,689,106,293,0.1620460991482594,0.7721421038936138,0.37243804879024944,-1.2436623315462885,0.4767651464919933,0.012958963282937365,36,0.012958963282937365,711,961.0,0.17734816238099574,0.17702039873287947,0.16172316661102623,621,0.07232855970995057,0.05063291139240506,36,0,0,0,0.16823552899466693,0.16145087527772184,0.2796643908881206,0.17828032219623832,0.6727272727272727,0.6879462186217437,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.03959683225341973,0.5683256315552316,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
