algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
xgboost:control_column_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617,0.0,0.0,True,True,True,False,True,False,False,True,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7329013678905687,0.7209827848309298,0.3104972375690608,0.7042606516290727,0.7377049180327869,0.43098159509202455,0.34622700163883857,0.1042540717742258,1755,624,118,281,0.176466839134463,0.790823738623566,0.4109466964456065,-0.1631999828043684,1.1072873300129227,0.04175665946724262,118,0.042476601871850254,722,972.0,0.5582261718392242,0.5345801460166366,0.536497092662567,629,0.3448411994457877,0.1634349030470914,9,10,4,4,91,0.8466834247767014,0.11297694232330129,0.6086059793170743,0.5693602271389043,0.6265158944148567,0.14705882352941174,0.020510557293068662,False,True,True,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6713462922966162,0.721546931641841,0.2757417102966841,0.7919799498746867,0.6511139134089954,0.4090614886731392,0.3643094085582333,0.10818784762972615,1549,830,83,316,0.176466839134463,0.7880051115599,0.4111788749124449,-0.20431610237854633,1.324440777740205,0.029517638588912886,82,0.029517638588912886,722,972.0,0.5439600716647445,0.5233941431196509,0.5244841227975623,629,0.31496864617494263,0.11357340720221606,9,26,1,4,42,0.8037341547770162,0.15354169984727004,0.5899067820705151,0.5651993587702894,0.6033544733029749,0.3970588235294118,0.04554251604817863,False,True,True,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.4298056155507559,0.6326693151542159,0.19092331768388107,0.9172932330827067,0.3480453972257251,0.3160621761658031,0.3949129807886249,0.11684877391832842,828,1551,33,366,0.176466839134463,0.7871386115562129,0.4068117542834767,-0.3375039055811952,1.5715836085764523,0.03275737940964723,91,0.03275737940964723,722,972.0,0.5239685394361409,0.5073280530017079,0.5073049045398409,629,0.28682161304062265,0.1260387811634349,4,81,1,0,5,0.7637617261401796,0.20132263160902503,0.5695335472809442,0.541012461372261,0.5720262642587832,0.33088235294117646,0.08062058251886413,False,True,True,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.1468682505399568,0.501891551071879,0.14409534127843987,1.0,0.0037831021437578815,0.2518939393939394,0.4324859572702254,0.12977905595292039,9,2370,0,399,0.176466839134463,0.7802092452653281,0.3983715211706976,-0.47512287244839213,1.8561348509213027,0.045716342692584594,127,0.045716342692584594,722,972.0,0.5063071896888233,0.4929125752650215,0.4929939405238777,629,0.2644161479654917,0.17590027700831026,0,127,0,0,0,0.7214636484889168,0.2501809372308207,0.5323192682987159,0.5196511725242704,0.5449908361447628,0.06617647058823525,0.11161000310524727,False,True,True,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.4711486333133661,0.14507917017747002,0,2379,0,399,0.176466839134463,0.7792458236806813,0.3986269471450331,-0.6242245324524326,2.1756800429008547,0.04679625629949604,130,0.04679625629949604,722,972.0,0.49294963248121487,0.48286359891604597,0.4826158025979741,629,0.2486543847335598,0.18005540166204986,0,130,0,0,0,0.6931989885100743,0.29413208575272015,0.5105961206093448,0.5351177151328464,0.5220780974174225,0.044117647058823505,0.13504779037720366,False,False,True,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.5285488688677807,0.17028956583247498,0,2379,0,399,0.176466839134463,0.7710828142234527,0.3825993187479543,-1.012879821553814,2.4376132695724517,0.04679625629949604,130,0.04679625629949604,722,972.0,0.46756482257972093,0.46177305679189895,0.460671459498942,629,0.22704398423870228,0.18005540166204986,0,130,0,0,0,0.6279232766840962,0.34730656551212025,0.4760476659077302,0.5185513604176559,0.4842914421749507,0.044117647058823505,0.17958915113374815,False,False,False,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
xgboost:control_column_permuted,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.5797758129241877,0.19430221532903058,0,2379,0,399,0.176466839134463,0.7623646126665972,0.37932843912767483,-1.38414373769698,2.653756430772187,0.04679625629949604,130,0.04679625629949604,722,972.0,0.44787688637950135,0.44550078732618603,0.44337953721532336,629,0.2122669831460999,0.18005540166204986,0,130,0,0,0,0.5986656698713376,0.3847063089389954,0.4569299957604071,0.5018343983951663,0.45473906044547574,0.044117647058823505,0.21413451398061367,False,False,False,False,True,True,False,False,0.7315704140553149,0.7895953629344483,0.4112856354938421,0.04895608351331893,0.5699154554402365,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.176466839134463
